system_name,exec_time,timestamp,timestamp_dt
5bzt__1__1.A__1.D,61.79,"2025-06-14 00:19:09,091",2025-06-14 00:19:09.091
5jgq__2__1.B__1.D,55.06,"2025-06-14 00:20:04,149",2025-06-14 00:20:04.149
3n5h__1__2.A__2.B_2.D,75.54,"2025-06-14 00:21:19,685",2025-06-14 00:21:19.685
5v3x__1__1.A__1.C,186.29,"2025-06-14 00:24:25,973",2025-06-14 00:24:25.973
5nbx__2__1.B__1.D,50.7,"2025-06-14 00:25:16,678",2025-06-14 00:25:16.678
3g1h__1__1.A_1.B__1.O,112.89,"2025-06-14 00:27:09,566",2025-06-14 00:27:09.566
4dhl__2__1.B_1.D__1.V_1.W_1.X,316.18,"2025-06-14 00:32:25,746",2025-06-14 00:32:25.746
4xqc__1__1.B__1.J,99.46,"2025-06-14 00:34:05,208",2025-06-14 00:34:05.208
6zc8__1__1.A__1.C,51.24,"2025-06-14 00:34:56,450",2025-06-14 00:34:56.450
8qv7__1__1.A__1.E,155.71,"2025-06-14 00:37:32,155",2025-06-14 00:37:32.155
5bzq__1__1.A__1.B,52.02,"2025-06-14 00:38:24,172",2025-06-14 00:38:24.172
3it3__1__1.B__1.D,147.64,"2025-06-14 00:40:51,813",2025-06-14 00:40:51.813
3p5y__1__1.A_1.B__1.E,102.8,"2025-06-14 00:42:34,616",2025-06-14 00:42:34.616
7nim__1__1.A__1.C,2.84,"2025-06-14 00:42:37,454",2025-06-14 00:42:37.454
4i02__1__1.A_1.E__1.H,61.04,"2025-06-14 00:43:38,495",2025-06-14 00:43:38.495
8w6p__1__1.A_1.B__1.E,198.97,"2025-06-14 00:46:57,461",2025-06-14 00:46:57.461
5uz0__1__1.A_1.B__1.F,119.08,"2025-06-14 00:48:56,546",2025-06-14 00:48:56.546
8akb__2__1.B__1.K,159.74,"2025-06-14 00:51:36,285",2025-06-14 00:51:36.285
8og9__1__1.A__1.C,68.74,"2025-06-14 00:52:45,030",2025-06-14 00:52:45.030
3wno__2__1.B__1.DA_1.G,160.03,"2025-06-14 00:55:25,057",2025-06-14 00:55:25.057
6fns__2__1.B__1.E,75.58,"2025-06-14 00:56:40,635",2025-06-14 00:56:40.635
4zwc__1__1.A__1.C,261.88,"2025-06-14 01:01:02,511",2025-06-14 01:01:02.511
2vft__1__1.A__1.B_1.C,213.23,"2025-06-14 01:04:35,740",2025-06-14 01:04:35.740
6i6x__1__1.A__1.G,267.29,"2025-06-14 01:09:03,034",2025-06-14 01:09:03.034
2ya3__1__1.C__1.D,256.93,"2025-06-14 01:13:19,966",2025-06-14 01:13:19.966
5m7u__1__1.A_1.B__1.D,206.1,"2025-06-14 01:16:46,070",2025-06-14 01:16:46.070
2uue__2__1.D_1.F__1.F_1.J,2.83,"2025-06-14 01:16:48,903",2025-06-14 01:16:48.903
6lfr__1__1.A__1.B,94.14,"2025-06-14 01:18:23,039",2025-06-14 01:18:23.039
5xjd__1__1.A_1.B__1.C,57.53,"2025-06-14 01:19:20,572",2025-06-14 01:19:20.572
5dw5__1__1.B__1.K,181.87,"2025-06-14 01:22:22,444",2025-06-14 01:22:22.444
6fnt__2__1.B__1.D,74.38,"2025-06-14 01:23:36,828",2025-06-14 01:23:36.828
2uag__1__1.A__1.B_1.D,2.87,"2025-06-14 01:23:39,701",2025-06-14 01:23:39.701
6a8p__3__1.C__1.F,148.68,"2025-06-14 01:26:08,379",2025-06-14 01:26:08.379
1oa2__3__1.C__1.I,2.86,"2025-06-14 01:26:11,241",2025-06-14 01:26:11.241
1v3e__1__1.B__1.I,83.38,"2025-06-14 01:27:34,619",2025-06-14 01:27:34.619
4xp9__1__1.A__1.H,219.71,"2025-06-14 01:31:14,326",2025-06-14 01:31:14.326
6kx8__2__1.B__1.D,220.0,"2025-06-14 01:34:54,330",2025-06-14 01:34:54.330
8b1b__1__1.A__1.C,94.78,"2025-06-14 01:36:29,114",2025-06-14 01:36:29.114
5a5w__1__1.A__1.B,124.49,"2025-06-14 01:38:33,600",2025-06-14 01:38:33.600
3r77__1__1.A_1.B__1.C,112.51,"2025-06-14 01:40:26,115",2025-06-14 01:40:26.115
4cyi__2__1.C__1.M_1.N,222.64,"2025-06-14 01:44:08,760",2025-06-14 01:44:08.760
8oep__2__1.C__1.D,159.62,"2025-06-14 01:46:48,380",2025-06-14 01:46:48.380
1u8v__1__1.A_1.B__1.F,107.63,"2025-06-14 01:48:36,012",2025-06-14 01:48:36.012
6ujj__1__1.A__1.B,72.32,"2025-06-14 01:49:48,327",2025-06-14 01:49:48.327
4cb5__1__1.A__1.B,91.36,"2025-06-14 01:51:19,682",2025-06-14 01:51:19.682
3ntp__1__1.A__1.B,116.48,"2025-06-14 01:53:16,161",2025-06-14 01:53:16.161
7e8q__1__1.A_1.C_1.D__1.J,217.05,"2025-06-14 01:56:53,207",2025-06-14 01:56:53.207
6t7g__2__1.B__1.L_1.M,280.63,"2025-06-14 02:01:33,834",2025-06-14 02:01:33.834
5o22__1__1.A__1.E,2.86,"2025-06-14 02:01:36,692",2025-06-14 02:01:36.692
3nqd__1__1.A_1.B__1.C,117.29,"2025-06-14 02:13:04,056",2025-06-14 02:13:04.056
5svl__2__3.B__3.T,136.36,"2025-06-14 02:15:20,414",2025-06-14 02:15:20.414
7khx__1__1.B__1.E,86.37,"2025-06-14 02:16:46,784",2025-06-14 02:16:46.784
7y4o__1__1.B__1.D,201.46,"2025-06-14 02:20:08,239",2025-06-14 02:20:08.239
7ow2__1__1.A_1.C_1.E_1.G__1.E_1.G,51.78,"2025-06-14 02:21:00,016",2025-06-14 02:21:00.016
3vv0__1__1.A__1.B,135.75,"2025-06-14 02:23:15,762",2025-06-14 02:23:15.762
3ju4__1__1.A_2.A_3.A__1.B,265.36,"2025-06-14 02:27:41,125",2025-06-14 02:27:41.125
2w0w__1__3.A__3.B,242.58,"2025-06-14 02:31:43,704",2025-06-14 02:31:43.704
4j6w__1__1.C_1.E__1.W,68.25,"2025-06-14 02:32:51,949",2025-06-14 02:32:51.949
3ltp__1__1.A_1.B__1.D,105.42,"2025-06-14 02:34:37,365",2025-06-14 02:34:37.365
2hmw__1__4.A_4.B__4.D,53.71,"2025-06-14 02:35:31,076",2025-06-14 02:35:31.076
5l6v__4__1.N_1.P__1.OA,223.9,"2025-06-14 02:39:14,977",2025-06-14 02:39:14.977
6flu__1__1.B__1.R,116.27,"2025-06-14 02:41:11,249",2025-06-14 02:41:11.249
5f2n__1__1.B__1.E_1.F,131.44,"2025-06-14 02:43:22,687",2025-06-14 02:43:22.687
8t5k__1__1.A_2.A__1.B_2.B,54.85,"2025-06-14 02:44:17,532",2025-06-14 02:44:17.532
6x5t__2__1.D__1.Q,99.13,"2025-06-14 02:45:56,666",2025-06-14 02:45:56.666
5qpg__1__2.A__2.H,76.34,"2025-06-14 02:47:13,003",2025-06-14 02:47:13.003
1bcj__1__1.B__1.I_1.K,116.48,"2025-06-14 02:49:09,484",2025-06-14 02:49:09.484
2xd9__1__4.A_4.C__4.F,96.94,"2025-06-14 02:50:46,422",2025-06-14 02:50:46.422
7a0c__2__1.B__1.T_1.U,102.36,"2025-06-14 02:52:28,785",2025-06-14 02:52:28.785
6fhv__1__3.A__3.G,116.69,"2025-06-14 02:54:25,473",2025-06-14 02:54:25.473
8iw6__1__1.A_1.B__1.F,158.45,"2025-06-14 02:57:03,920",2025-06-14 02:57:03.920
4agi__1__1.C__1.W,2.82,"2025-06-14 02:57:06,736",2025-06-14 02:57:06.736
6ddh__1__2.A__2.B,184.75,"2025-06-14 03:00:11,488",2025-06-14 03:00:11.488
5odi__1__1.A_1.G__1.N,413.49,"2025-06-14 03:07:04,983",2025-06-14 03:07:04.983
6apl__1__1.A__1.G,114.54,"2025-06-14 03:08:59,525",2025-06-14 03:08:59.525
6e07__4__1.F__1.QA,258.78,"2025-06-14 03:13:18,310",2025-06-14 03:13:18.310
5o3w__4__1.D__1.H,168.1,"2025-06-14 03:16:06,406",2025-06-14 03:16:06.406
5l58__1__1.A_2.A__1.C_2.C,343.88,"2025-06-14 03:21:50,286",2025-06-14 03:21:50.286
3bk2__1__2.A__2.E,113.54,"2025-06-14 03:23:43,822",2025-06-14 03:23:43.822
6xuq__1__2.A__2.B_2.C_2.E,109.75,"2025-06-14 03:25:33,574",2025-06-14 03:25:33.574
1n2k__1__2.A__2.B,2.9,"2025-06-14 03:25:36,479",2025-06-14 03:25:36.479
3p5p__1__1.A__1.B_1.C_1.E,342.32,"2025-06-14 03:31:18,798",2025-06-14 03:31:18.798
1rwo__1__2.A_2.B__2.C,47.93,"2025-06-14 03:32:06,724",2025-06-14 03:32:06.724
4tlb__1__1.A_1.F__1.V_1.W,135.11,"2025-06-14 03:34:21,830",2025-06-14 03:34:21.830
5bzp__1__1.A__1.B,51.94,"2025-06-14 03:35:13,773",2025-06-14 03:35:13.773
3qmr__1__1.A_1.B__1.C,102.74,"2025-06-14 03:36:56,510",2025-06-14 03:36:56.510
3lhu__1__1.A_1.B__1.C,113.41,"2025-06-14 03:38:49,921",2025-06-14 03:38:49.921
5auo__1__1.B_2.B__1.F_1.G,173.09,"2025-06-14 03:41:43,016",2025-06-14 03:41:43.016
4dch__1__1.A__1.C,142.18,"2025-06-14 03:44:05,193",2025-06-14 03:44:05.193
3i27__2__1.C_1.D__1.L,163.42,"2025-06-14 03:46:48,612",2025-06-14 03:46:48.612
5wgt__2__1.A_2.A__1.O,401.83,"2025-06-14 03:53:30,439",2025-06-14 03:53:30.439
7zbv__1__1.A__1.B_1.E,165.04,"2025-06-14 03:56:15,477",2025-06-14 03:56:15.477
5x72__1__1.A__1.B_1.C,117.5,"2025-06-14 03:58:12,979",2025-06-14 03:58:12.979
2dew__1__2.A__2.B_2.H,126.37,"2025-06-14 04:00:19,351",2025-06-14 04:00:19.351
5lnr__1__3.A_3.D__3.N,355.03,"2025-06-14 04:06:14,381",2025-06-14 04:06:14.381
5lia__1__1.A__1.D_1.M,399.11,"2025-06-14 04:12:53,496",2025-06-14 04:12:53.496
1j1m__1__1.A__1.B,91.84,"2025-06-14 04:14:25,333",2025-06-14 04:14:25.333
8dc6__3__1.C__1.U,115.29,"2025-06-14 04:16:20,622",2025-06-14 04:16:20.622
1esw__1__1.A__1.B_1.D,271.27,"2025-06-14 04:20:51,896",2025-06-14 04:20:51.896
7t9z__2__1.B__1.E,87.56,"2025-06-14 04:22:19,459",2025-06-14 04:22:19.459
5a88__4__1.D__1.P_1.Q_1.R,88.98,"2025-06-14 04:23:48,443",2025-06-14 04:23:48.443
8ede__1__1.A__1.C,90.69,"2025-06-14 04:25:19,134",2025-06-14 04:25:19.134
6tvn__4__1.D__1.L,117.93,"2025-06-14 04:27:17,065",2025-06-14 04:27:17.065
3thc__2__1.B__1.P,121.41,"2025-06-14 04:29:18,477",2025-06-14 04:29:18.477
2vkh__1__1.A__1.D_1.E,183.24,"2025-06-14 04:32:21,717",2025-06-14 04:32:21.717
1h33__1__1.A__1.D,2.98,"2025-06-14 04:32:24,694",2025-06-14 04:32:24.694
2yqh__1__1.A__1.C,213.71,"2025-06-14 04:35:58,401",2025-06-14 04:35:58.401
3bwk__1__1.B_1.D__1.G,133.63,"2025-06-14 04:38:12,032",2025-06-14 04:38:12.032
5bzb__1__1.C_1.D__1.O,47.75,"2025-06-14 04:38:59,779",2025-06-14 04:38:59.779
6r4y__1__1.A_1.D__1.D_1.E,79.09,"2025-06-14 04:40:18,870",2025-06-14 04:40:18.870
5j61__3__1.E_1.F__1.M,94.48,"2025-06-14 04:41:53,351",2025-06-14 04:41:53.351
1ia9__1__1.B__1.G,117.38,"2025-06-14 04:43:50,736",2025-06-14 04:43:50.736
2oz2__1__2.A_2.B__2.F_2.L,65.44,"2025-06-14 04:44:56,178",2025-06-14 04:44:56.178
6gid__1__1.A__1.C,148.82,"2025-06-14 04:47:24,997",2025-06-14 04:47:24.997
8eg6__2__1.G_1.H__1.AA,83.77,"2025-06-14 04:48:48,771",2025-06-14 04:48:48.771
3bex__2__1.C_1.D__1.L,64.43,"2025-06-14 04:49:53,203",2025-06-14 04:49:53.203
2cix__1__1.A__1.E_1.F_1.S,2.84,"2025-06-14 04:49:56,043",2025-06-14 04:49:56.043
1ogp__1__1.A__1.J,3.18,"2025-06-14 04:49:59,225",2025-06-14 04:49:59.225
2o6p__1__1.A__1.F,2.92,"2025-06-14 04:50:02,145",2025-06-14 04:50:02.145
3x0b__1__1.A_1.B__1.E,134.91,"2025-06-14 04:52:17,055",2025-06-14 04:52:17.055
1l4y__1__1.A__1.B_1.H,119.19,"2025-06-14 04:54:16,249",2025-06-14 04:54:16.249
4a7g__1__1.B__1.O,89.09,"2025-06-14 04:55:45,343",2025-06-14 04:55:45.343
3jvv__1__2.B__2.G_2.H,78.64,"2025-06-14 04:57:03,982",2025-06-14 04:57:03.982
3k56__2__2.B__2.F_2.G,127.74,"2025-06-14 04:59:11,720",2025-06-14 04:59:11.720
3nkn__1__1.A__1.D,382.28,"2025-06-14 05:05:34,002",2025-06-14 05:05:34.002
1yk0__1__1.B__1.D,85.16,"2025-06-14 05:06:59,165",2025-06-14 05:06:59.165
4txe__1__1.A__1.B,128.96,"2025-06-14 05:09:08,123",2025-06-14 05:09:08.123
8jyf__1__1.B__1.F,133.24,"2025-06-14 05:11:21,360",2025-06-14 05:11:21.360
4l1r__2__1.B_3.B__1.K,207.09,"2025-06-14 05:14:48,454",2025-06-14 05:14:48.454
8gkf__1__1.A__1.J,102.63,"2025-06-14 05:16:31,086",2025-06-14 05:16:31.086
7cfd__1__1.A__1.B,93.35,"2025-06-14 05:18:04,439",2025-06-14 05:18:04.439
6h15__1__1.D__1.G,135.32,"2025-06-14 05:20:19,757",2025-06-14 05:20:19.757
2gfk__1__1.A__1.C_1.D_1.G,68.32,"2025-06-14 05:21:28,080",2025-06-14 05:21:28.080
7u8y__1__1.B__1.G_1.H_1.I_1.J,125.72,"2025-06-14 05:23:33,805",2025-06-14 05:23:33.805
4pht__1__1.A_1.B__1.H_1.I,262.9,"2025-06-14 05:27:56,704",2025-06-14 05:27:56.704
8hx7__1__1.A__1.C,2.9,"2025-06-14 05:27:59,607",2025-06-14 05:27:59.607
7crz__1__1.A__1.B_1.C,253.5,"2025-06-14 05:32:13,104",2025-06-14 05:32:13.104
1qnf__1__1.A__1.C,208.41,"2025-06-14 05:35:41,513",2025-06-14 05:35:41.513
8r3d__1__1.B_1.E__1.J,64.59,"2025-06-14 05:36:46,100",2025-06-14 05:36:46.100
3w6f__1__1.A__1.E,51.45,"2025-06-14 05:37:37,555",2025-06-14 05:37:37.555
8b1a__1__1.A__1.C,94.32,"2025-06-14 05:39:11,879",2025-06-14 05:39:11.879
5yea__2__1.B__1.G,84.01,"2025-06-14 05:40:35,894",2025-06-14 05:40:35.894
2fqw__1__1.A__1.B,129.42,"2025-06-14 05:42:45,315",2025-06-14 05:42:45.315
5odc__1__1.A_1.G__1.SA,393.11,"2025-06-14 05:49:18,422",2025-06-14 05:49:18.422
7c1y__1__1.A_1.B__1.D,550.24,"2025-06-14 05:58:28,659",2025-06-14 05:58:28.659
1siw__1__1.B_1.C__1.L,2.85,"2025-06-14 05:58:31,507",2025-06-14 05:58:31.507
5qtp__1__1.A_1.B__1.G,59.81,"2025-06-14 05:59:31,316",2025-06-14 05:59:31.316
7pwy__1__1.A_1.B__1.I_1.J,182.01,"2025-06-14 06:02:33,325",2025-06-14 06:02:33.325
5hvh__1__1.A__1.E,91.08,"2025-06-14 06:04:04,404",2025-06-14 06:04:04.404
3lgm__1__1.A__1.C,2.91,"2025-06-14 06:04:07,315",2025-06-14 06:04:07.315
6wvh__1__1.A__1.C,84.49,"2025-06-14 06:05:31,809",2025-06-14 06:05:31.809
1zef__1__2.A__2.D,2.91,"2025-06-14 06:05:34,719",2025-06-14 06:05:34.719
4jt8__1__1.A__1.C,285.34,"2025-06-14 06:10:20,063",2025-06-14 06:10:20.063
1gtk__1__1.A__1.B,142.5,"2025-06-14 06:12:42,561",2025-06-14 06:12:42.561
3rlu__1__1.A_1.B__1.D,134.74,"2025-06-14 06:14:57,299",2025-06-14 06:14:57.299
4jaf__1__1.B_3.B__1.H,97.61,"2025-06-14 06:16:34,912",2025-06-14 06:16:34.912
2y71__1__1.A_3.A__3.B,83.5,"2025-06-14 06:17:58,417",2025-06-14 06:17:58.417
4azm__1__1.A_1.B__1.C,53.94,"2025-06-14 06:18:52,361",2025-06-14 06:18:52.361
4edh__1__1.A__1.C_1.D_1.E,139.2,"2025-06-14 06:21:11,557",2025-06-14 06:21:11.557
3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,75.55,"2025-06-14 06:22:27,107",2025-06-14 06:22:27.107
3lhy__1__1.A_1.B__1.C,94.64,"2025-06-14 06:24:01,752",2025-06-14 06:24:01.752
1q92__1__1.A__1.C,57.59,"2025-06-14 06:24:59,346",2025-06-14 06:24:59.346
8b1e__1__1.A__1.C,100.27,"2025-06-14 06:26:39,614",2025-06-14 06:26:39.614
5jau__1__1.A__1.E,83.74,"2025-06-14 06:28:03,359",2025-06-14 06:28:03.359
6tn2__1__1.A__1.B,207.27,"2025-06-14 06:31:30,632",2025-06-14 06:31:30.632
4np3__1__1.A__1.B_1.D_1.E,52.76,"2025-06-14 06:32:23,387",2025-06-14 06:32:23.387
6hmh__1__1.A__1.B_1.D_1.E,137.65,"2025-06-14 06:34:41,038",2025-06-14 06:34:41.038
6gw2__1__1.A__1.C,159.39,"2025-06-14 06:37:20,424",2025-06-14 06:37:20.424
2x65__1__1.B__1.J_1.K,245.7,"2025-06-14 06:41:26,124",2025-06-14 06:41:26.124
3w0t__1__1.A_1.B__1.F_1.G,60.52,"2025-06-14 06:42:26,648",2025-06-14 06:42:26.648
4glx__1__1.D__1.G,116.38,"2025-06-14 06:44:23,028",2025-06-14 06:44:23.028
6wqt__1__1.A__1.C,114.78,"2025-06-14 06:46:17,806",2025-06-14 06:46:17.806
8tjc__1__1.B__1.N,154.23,"2025-06-14 06:48:52,036",2025-06-14 06:48:52.036
3wjw__1__1.A_2.A__2.B,102.43,"2025-06-14 06:50:34,463",2025-06-14 06:50:34.463
3b1e__1__1.A_1.B__1.F_1.J,275.57,"2025-06-14 06:55:10,030",2025-06-14 06:55:10.030
5wdk__1__1.F__1.W,84.04,"2025-06-14 06:56:34,072",2025-06-14 06:56:34.072
1lqv__2__1.B__1.J,54.64,"2025-06-14 07:05:52,536",2025-06-14 07:05:52.536
7x11__1__1.D__1.P,118.49,"2025-06-14 07:07:51,022",2025-06-14 07:07:51.022
2zgz__1__1.A__1.C_1.E,72.21,"2025-06-14 07:09:03,233",2025-06-14 07:09:03.233
2qcx__1__1.B__1.D,104.43,"2025-06-14 07:10:47,661",2025-06-14 07:10:47.661
2vkd__1__1.A__1.D_1.E,165.24,"2025-06-14 07:13:32,902",2025-06-14 07:13:32.902
2yc3__1__2.A__2.B,126.85,"2025-06-14 07:15:39,755",2025-06-14 07:15:39.755
5hmy__1__1.A__1.D,242.91,"2025-06-14 07:19:42,662",2025-06-14 07:19:42.662
4mwf__2__1.C__1.L,116.3,"2025-06-14 07:21:38,967",2025-06-14 07:21:38.967
4hsi__2__1.B_2.B__2.K,194.77,"2025-06-14 07:24:53,737",2025-06-14 07:24:53.737
5nmt__1__1.B__1.E,269.4,"2025-06-14 07:29:23,134",2025-06-14 07:29:23.134
5n0m__1__2.A__2.B_2.I,126.63,"2025-06-14 07:31:29,766",2025-06-14 07:31:29.766
1jep__5__1.A_2.A__1.E_1.F,58.04,"2025-06-14 07:32:27,807",2025-06-14 07:32:27.807
4pkr__1__1.A__1.B_1.C_1.E,157.24,"2025-06-14 07:35:05,043",2025-06-14 07:35:05.043
6yy6__1__1.A__1.E,70.93,"2025-06-14 07:36:15,978",2025-06-14 07:36:15.978
5h42__1__1.A__1.C,581.08,"2025-06-14 07:45:57,061",2025-06-14 07:45:57.061
3lhw__1__1.A_1.B__1.C,98.73,"2025-06-14 07:47:35,793",2025-06-14 07:47:35.793
6i34__1__1.B__1.L,509.54,"2025-06-14 07:56:05,332",2025-06-14 07:56:05.332
6mx3__1__1.A_1.B__1.C_1.D,82.58,"2025-06-14 07:57:27,915",2025-06-14 07:57:27.915
4n7m__1__1.A_1.B__1.C,63.51,"2025-06-14 07:58:31,425",2025-06-14 07:58:31.425
4yco__3__1.C__1.J,75.5,"2025-06-14 07:59:46,921",2025-06-14 07:59:46.921
6m47__1__1.A__1.G,113.77,"2025-06-14 08:01:40,696",2025-06-14 08:01:40.696
2v0n__1__1.A_1.B__1.Q_1.R,98.6,"2025-06-14 08:03:19,297",2025-06-14 08:03:19.297
5bzm__1__1.A__1.B,52.33,"2025-06-14 08:04:11,624",2025-06-14 08:04:11.624
3jsa__1__2.A__2.B,132.61,"2025-06-14 08:06:24,238",2025-06-14 08:06:24.238
7vzn__1__1.A_1.B__1.S_1.T_1.U,150.16,"2025-06-14 08:08:54,399",2025-06-14 08:08:54.399
5o1j__1__1.A__1.B_1.D,228.23,"2025-06-14 08:12:42,630",2025-06-14 08:12:42.630
7t8f__1__1.A_1.B__1.E_1.H,85.23,"2025-06-14 08:14:07,859",2025-06-14 08:14:07.859
6yab__2__1.B__1.I,120.92,"2025-06-14 08:16:08,783",2025-06-14 08:16:08.783
7qu9__2__1.B__1.G,187.08,"2025-06-14 08:19:15,864",2025-06-14 08:19:15.864
2pnc__1__1.B__1.O,3.14,"2025-06-14 08:19:19,005",2025-06-14 08:19:19.005
4rvh__1__1.A__1.D,3.13,"2025-06-14 08:19:22,136",2025-06-14 08:19:22.136
5vro__1__1.A_1.B__1.C,74.06,"2025-06-14 08:20:36,192",2025-06-14 08:20:36.192
6kal__1__1.A__1.G_1.H,142.75,"2025-06-14 08:22:58,939",2025-06-14 08:22:58.939
6a9a__1__1.A_2.A__2.C_2.D,112.51,"2025-06-14 08:24:51,446",2025-06-14 08:24:51.446
4jp4__1__1.A_1.B__1.I_1.N,57.74,"2025-06-14 08:25:49,188",2025-06-14 08:25:49.188
6u5y__2__1.B__1.D,74.82,"2025-06-14 08:27:04,007",2025-06-14 08:27:04.007
1dvr__1__1.A_1.B__1.C,114.09,"2025-06-14 08:28:58,092",2025-06-14 08:28:58.092
3ayg__2__2.A__2.B_2.C_2.E,3.38,"2025-06-14 08:29:01,475",2025-06-14 08:29:01.475
4kax__1__1.B__1.H,54.47,"2025-06-14 08:29:55,942",2025-06-14 08:29:55.942
8p0m__1__1.C__1.L,2.89,"2025-06-14 08:29:58,828",2025-06-14 08:29:58.828
7bo7__1__1.A__1.C,122.58,"2025-06-14 08:32:01,410",2025-06-14 08:32:01.410
3d1r__1__1.A__1.B_1.D,129.21,"2025-06-14 08:34:10,617",2025-06-14 08:34:10.617
5vr7__1__1.A_1.B__1.C,74.9,"2025-06-14 08:35:25,519",2025-06-14 08:35:25.519
5d61__1__1.A__1.D_1.L,68.77,"2025-06-14 08:36:34,290",2025-06-14 08:36:34.290
1nx9__1__1.A__1.E,266.26,"2025-06-14 08:41:00,548",2025-06-14 08:41:00.548
5eno__1__1.C__1.G,415.5,"2025-06-14 08:47:56,044",2025-06-14 08:47:56.044
6pyy__1__1.D__1.P,130.57,"2025-06-14 08:50:06,618",2025-06-14 08:50:06.618
2nw8__1__1.A_1.B_2.A__2.D,134.61,"2025-06-14 08:52:21,232",2025-06-14 08:52:21.232
6gy9__1__1.A_1.B__1.C,67.03,"2025-06-14 08:53:28,263",2025-06-14 08:53:28.263
8qth__1__1.A__1.B,203.3,"2025-06-14 08:56:51,559",2025-06-14 08:56:51.559
5ml8__1__1.A__1.B,85.42,"2025-06-14 08:58:16,975",2025-06-14 08:58:16.975
4ffg__2__1.B__1.F,187.54,"2025-06-14 09:01:24,517",2025-06-14 09:01:24.517
2j0y__1__1.C__1.H,120.91,"2025-06-14 09:03:25,431",2025-06-14 09:03:25.431
7w2g__1__1.A__1.M,104.96,"2025-06-14 09:05:10,394",2025-06-14 09:05:10.394
6f1q__1__1.A_3.A__3.D,3.2,"2025-06-14 09:05:13,594",2025-06-14 09:05:13.594
2q8i__1__1.A_2.A_2.B__2.F,105.05,"2025-06-14 09:06:58,639",2025-06-14 09:06:58.639
6wuu__1__1.A__1.E,72.4,"2025-06-14 09:08:11,043",2025-06-14 09:08:11.043
2wgs__1__1.G__1.Y,100.12,"2025-06-14 09:09:51,165",2025-06-14 09:09:51.165
7loo__1__1.C_1.D__1.FA_1.HA,190.53,"2025-06-14 09:13:01,692",2025-06-14 09:13:01.692
3nqg__1__1.A_1.B__1.E,95.85,"2025-06-14 09:14:37,538",2025-06-14 09:14:37.538
4gnv__1__1.B__1.G,175.45,"2025-06-14 09:17:32,986",2025-06-14 09:17:32.986
4u2y__1__1.B__1.D,133.71,"2025-06-14 09:19:46,693",2025-06-14 09:19:46.693
5df5__2__1.B__1.G,2.89,"2025-06-14 09:19:49,587",2025-06-14 09:19:49.587
2wcx__1__1.A__1.D,97.92,"2025-06-14 09:21:27,504",2025-06-14 09:21:27.504
2bxa__1__1.A__1.D,108.0,"2025-06-14 09:23:15,508",2025-06-14 09:23:15.508
