target_id,n_models,mean_rmsd,std_rmsd,min_rmsd,max_rmsd,methods
1r34__1__1.A__1.C_1.D,3,1.083,0.052,1.023,1.116,mcs
1r6w__1__1.A__1.B_1.C,3,0.439,0.319,0.071,0.624,mcs
1rlz__1__1.A_2.A_3.A_4.A__2.B_3.B,3,1.588,0.004,1.584,1.59,mcs
1rwn__1__2.A_2.B__2.C,3,0.974,0.017,0.957,0.991,mcs
1rwo__1__2.A_2.B__2.C,3,0.986,0.041,0.944,1.027,mcs
1s2g__1__1.A_2.C__1.D,3,0.357,0.021,0.341,0.38,mcs
1s4m__2__1.B__1.E,3,0.086,0.001,0.085,0.087,mcs
1tcb__1__1.A__1.C,3,1.449,1.22,0.658,2.854,mcs
1tcc__1__1.A__1.C,3,2.14,0.679,1.37,2.653,mcs
1tfw__2__1.J__1.M_1.N,3,1.307,0.429,0.873,1.731,mcs
1thz__1__1.A_1.B__1.D,3,1.255,0.732,0.411,1.717,mcs
1u8v__1__1.A_1.B__1.F,3,1.201,0.073,1.142,1.282,mcs
1ua3__1__1.A__1.B,3,0.548,0.277,0.23,0.727,global
1ub3__1__1.C__1.G,3,0.45,0.009,0.442,0.46,global
1uhe__1__2.A_2.B_4.A_4.B__4.C,3,0.935,0.067,0.893,1.013,mcs
1uj5__2__2.A__2.B,3,0.899,0.168,0.722,1.056,mcs
1uoo__1__1.A__1.B,3,0.597,0.029,0.571,0.629,mcs
1v3c__1__1.B__1.J,3,0.277,0.002,0.275,0.28,mcs
1v3e__1__1.B__1.I,3,0.147,0.012,0.133,0.156,mcs
1v4s__1__1.A__1.D,3,0.229,0.033,0.193,0.256,mcs
1vhn__1__1.A__1.B_1.E,3,0.234,0.022,0.217,0.259,mcs
1w19__1__2.A_2.E__2.EA,3,0.611,0.203,0.426,0.828,mcs
1w19__1__2.C_2.D__2.T,3,0.341,0.175,0.226,0.542,mcs
1w2c__2__1.B__1.H_1.I_1.J,3,0.702,0.111,0.611,0.825,mcs
1w2x__1__1.A_2.A__2.D,3,1.891,0.891,1.346,2.919,mcs
1wda__1__2.A__2.J,3,1.076,0.02,1.053,1.092,mcs
1wk9__1__1.A__1.B,3,0.618,0.021,0.601,0.641,mcs
1wop__1__1.A__1.B,3,0.559,0.072,0.515,0.642,mcs
1wxy__1__1.A__1.C,3,1.211,0.186,1.005,1.368,mcs
1x1i__1__1.A__1.B,3,0.141,0.011,0.131,0.152,global
1xpg__2__1.B__1.K,3,2.736,0.07,2.661,2.8,mcs
1xr2__1__1.A__1.D,3,2.09,1.089,0.832,2.728,mcs
1xuo__1__1.A__1.D,3,2.252,0.16,2.079,2.394,mcs
1xwd__1__1.A__1.J,3,0.255,0.208,0.097,0.491,mcs
1yk0__1__1.B__1.D,3,0.821,0.179,0.692,1.025,mcs
1yk1__1__1.B__1.D,3,0.623,0.046,0.588,0.675,mcs
1ywq__1__1.A_2.A__2.B,3,1.14,0.08,1.048,1.198,mcs
1z2i__1__1.A_1.B__1.E,3,0.515,0.019,0.499,0.535,mcs
1z82__1__1.A_1.B__1.C_1.J,3,1.575,0.026,1.559,1.605,mcs
1z82__1__1.A_1.B__1.D_1.I,3,1.525,0.027,1.506,1.556,mcs
1zed__1__2.A__2.C,3,0.48,0.132,0.34,0.603,mcs
1zxv__1__1.A__1.C_1.D,3,0.681,0.464,0.153,1.024,mcs
2ada__1__1.A__1.B_1.C,3,0.252,0.002,0.25,0.254,mcs
2bif__1__1.A__1.F_1.H,3,0.725,0.228,0.472,0.916,mcs
2bxa__1__1.A__1.D,3,1.083,0.145,0.948,1.236,mcs
2c92__1__1.B_1.C__1.J,3,0.564,0.163,0.4,0.726,mcs
2c94__1__1.A_1.E__1.X,3,0.912,0.085,0.815,0.963,mcs
2cc7__1__1.A_2.A_4.A_8.A__1.H_8.H,3,0.04,0.003,0.037,0.042,mcs
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,3,0.053,0.003,0.051,0.057,mcs
2cfm__1__1.A__1.C,3,0.743,0.095,0.652,0.842,mcs
2d3n__1__1.A__1.E,3,0.724,0.073,0.662,0.804,global
2dew__1__2.A__2.B_2.H,3,1.876,0.305,1.646,2.223,mcs
2dey__1__2.A__2.B_2.H,3,2.716,0.066,2.648,2.778,mcs
2dwp__1__1.A__1.B_1.D_1.E,3,0.824,0.157,0.652,0.961,mcs
2e82__1__1.B__1.G_1.H,3,0.682,0.012,0.668,0.691,mcs
2fqw__1__1.A__1.B,3,0.045,0.002,0.043,0.047,mcs
2gag__1__1.A_1.B__1.H_1.J,3,1.642,0.024,1.621,1.668,mcs
2gah__1__1.A_1.B__1.G,3,1.675,0.043,1.644,1.725,mcs
2gfj__1__1.A__1.C_1.D_1.I,3,1.265,0.203,1.123,1.498,mcs
2gfk__1__1.A__1.C_1.D_1.G,3,0.839,0.304,0.616,1.185,mcs
2goo__1__1.C__1.H,3,0.809,0.055,0.769,0.872,mcs
2hmv__1__4.A_4.B__4.C,3,0.944,0.11,0.818,1.014,mcs
2hmw__1__4.A_4.B__4.D,3,0.942,0.094,0.834,1.008,mcs
2hxd__1__1.A_3.A__1.B_1.C,3,0.617,0.142,0.512,0.778,mcs
2i7d__1__1.A__1.C_1.D_1.E,3,1.01,0.009,1.0,1.018,mcs
2ica__1__1.A__1.B,3,1.822,0.019,1.8,1.836,mcs
2iut__1__1.A_1.B__1.E_1.F,3,1.317,0.016,1.301,1.334,mcs
2j07__1__1.A__1.C,3,1.102,0.025,1.083,1.13,mcs
2j0y__1__1.C__1.H,3,2.335,0.265,2.048,2.572,global
2jbs__1__1.A_1.D__1.H,3,0.779,0.026,0.749,0.795,mcs
2nw8__1__1.A_1.B_2.A__2.D,3,1.352,0.042,1.311,1.395,mcs
2o7i__1__1.A__1.B,3,1.179,1.179,0.49,2.54,global
2oz2__1__2.A_2.B__2.F_2.L,3,1.518,0.037,1.478,1.553,mcs
2pg2__1__1.B__1.H,3,0.458,0.007,0.45,0.463,mcs
2q3j__1__1.A__1.C,3,0.869,0.046,0.82,0.91,mcs
2q8i__1__1.A_2.A_2.B__2.F,3,1.233,0.078,1.146,1.294,mcs
2qcx__1__1.B__1.D,3,0.25,0.007,0.242,0.255,mcs
2qts__1__1.A__1.J,3,0.338,0.217,0.21,0.588,mcs
2qvh__1__1.B__1.E_1.F,3,0.787,0.185,0.574,0.909,mcs
2r1r__1__1.A__1.G,3,2.764,0.061,2.702,2.823,mcs
2v0n__1__1.A_1.B__1.Q_1.R,3,2.695,0.122,2.599,2.832,mcs
2v91__1__1.A__1.C,3,0.442,0.006,0.437,0.448,mcs
2vfs__1__1.A__1.B_1.C,3,0.602,0.052,0.571,0.662,mcs
2vft__1__1.A__1.B_1.C,3,0.546,0.003,0.544,0.55,mcs
2vkd__1__1.A__1.D_1.E,3,0.65,0.01,0.639,0.659,mcs
2vkh__1__1.A__1.D_1.E,3,0.548,0.073,0.464,0.595,mcs
2vxk__1__1.A_2.A__1.B,3,0.919,0.153,0.793,1.09,mcs
2vzq__1__1.A__1.C_1.F,3,0.391,0.162,0.204,0.486,mcs
2w08__1__1.D__1.T,3,0.651,0.007,0.645,0.659,mcs
2w0w__1__3.A__3.B,3,0.925,0.055,0.873,0.983,mcs
2wa9__1__1.A__1.H,3,1.311,0.28,1.144,1.634,mcs
2wbv__2__1.C_1.F__1.R,3,0.454,0.005,0.451,0.46,mcs
2wcx__1__1.A__1.D,3,0.632,0.391,0.407,1.084,mcs
2wgs__1__1.G__1.Y,3,0.505,0.213,0.291,0.716,mcs
2wo3__1__1.B__1.C,3,2.374,0.18,2.168,2.5,mcs
2wzi__1__1.A__1.F,3,0.081,0.004,0.076,0.085,mcs
2x0q__1__2.A__2.B_2.C_2.D,3,1.025,0.714,0.505,1.839,mcs
2x0u__2__1.B__1.D,3,0.194,0.027,0.165,0.22,mcs
2x1n__1__1.D__1.E,3,2.048,0.975,0.925,2.687,mcs
2x65__1__1.B__1.J_1.K,3,0.591,0.094,0.532,0.699,global
2xce__1__1.B_1.C__1.M_1.N,3,1.367,0.153,1.197,1.495,mcs
2xcg__2__1.A_2.A__1.F,3,3.375,0.033,3.355,3.412,global
2xd9__1__4.A_4.C__4.F,3,0.215,0.195,0.102,0.44,mcs
2xjb__1__1.A__1.D_1.G,3,0.545,0.008,0.539,0.554,mcs
2xju__1__1.A__1.B_1.C,3,2.123,0.081,2.046,2.207,global
2xtk__2__1.B__1.L,3,0.289,0.072,0.207,0.34,mcs
2y38__1__1.A__1.B,3,1.808,0.989,1.016,2.916,mcs
2y71__1__1.A_3.A__3.B,3,0.848,0.021,0.824,0.864,mcs
2ya3__1__1.C__1.D,3,1.292,0.246,1.061,1.551,mcs
2ybe__1__1.A__1.B_1.D_1.E_1.F,3,1.25,0.079,1.159,1.305,mcs
2yc3__1__2.A__2.B,3,1.455,0.009,1.445,1.463,mcs
2yc5__1__1.A__1.B,3,1.693,0.012,1.68,1.704,mcs
2yqh__1__1.A__1.C,3,0.461,0.028,0.434,0.491,mcs
2yqs__1__1.A__1.B_1.D,3,0.47,0.277,0.15,0.629,mcs
2yr6__1__1.A__1.D_1.E_1.F,3,0.266,0.134,0.179,0.42,mcs
2z8g__2__1.B__1.W,3,0.481,0.251,0.235,0.737,mcs
2zgz__1__1.A__1.C_1.E,3,1.384,0.627,1.004,2.108,mcs
2zw9__2__1.B__1.D,3,0.386,0.113,0.256,0.456,mcs
2zwa__2__1.B__1.H,3,0.38,0.015,0.366,0.396,mcs
2zz5__1__1.A_1.B__1.C,3,0.617,0.368,0.192,0.83,mcs
3a3k__1__1.A__1.C,3,1.101,0.277,0.829,1.382,mcs
3abi__1__1.B__1.F,3,0.624,0.087,0.573,0.724,mcs
3afk__1__1.B__1.D_1.F,3,1.293,0.089,1.206,1.385,mcs
3arn__1__1.A_1.C__1.D,3,0.806,0.363,0.483,1.199,mcs
3ayj__1__1.B__1.H_1.I_1.J,3,0.175,0.005,0.169,0.178,mcs
3b03__1__1.A__1.E_1.F,3,0.667,0.147,0.499,0.767,mcs
3b04__1__1.C__1.I_1.J,3,0.976,0.216,0.74,1.163,mcs
3b1d__1__1.A_1.B__1.G_1.K,3,0.834,0.009,0.824,0.84,mcs
3b1e__1__1.A_1.B__1.F_1.J,3,0.662,0.21,0.514,0.903,mcs
3b5i__1__1.B__1.E,3,0.145,0.005,0.142,0.151,mcs
3b6p__2__1.D__1.N_1.O_1.P,3,0.822,0.013,0.81,0.836,mcs
3bex__2__1.C_1.D__1.L,3,1.101,0.004,1.098,1.106,mcs
3bf3__1__1.A_1.B__1.H,3,1.184,0.007,1.176,1.19,mcs
3bk2__1__2.A__2.E,3,0.997,0.113,0.884,1.109,mcs
3bos__1__1.A_1.B__1.M_1.P_1.U,3,0.574,0.139,0.489,0.735,mcs
3bqn__3__1.A_1.B__1.D,3,1.707,0.176,1.52,1.87,mcs
3bwk__1__1.B_1.D__1.G,3,1.287,0.159,1.195,1.471,mcs
3c9z__1__1.A__1.D,3,0.781,0.06,0.716,0.836,mcs
3ca5__2__2.A__2.D,3,0.784,0.035,0.747,0.816,mcs
3cde__1__1.A__1.C,3,1.126,0.122,0.986,1.206,mcs
3cxq__1__1.A_2.A__2.B,3,0.488,0.174,0.339,0.679,global
3d1r__1__1.A__1.B_1.D,3,0.598,0.055,0.55,0.658,global
3ddb__1__1.A_1.B__1.B_1.C,3,3.673,0.222,3.479,3.915,mcs
3ddu__1__1.A__1.B_1.G,3,0.525,0.588,0.175,1.204,mcs
3e08__1__1.A_1.B_1.D__1.R,3,1.389,0.092,1.284,1.449,mcs
3ej2__1__3.A_4.A__3.B_4.B,3,0.664,0.32,0.42,1.027,mcs
3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,3,1.806,0.222,1.551,1.96,mcs
3elh__2__1.F__1.Q_1.R,3,0.975,0.249,0.741,1.237,mcs
3elm__1__2.A__2.C_2.I,3,1.071,0.091,0.979,1.161,mcs
3f6k__1__1.A__1.C,3,0.807,0.129,0.677,0.934,mcs
3g1b__1__1.B__1.D,3,2.921,0.017,2.91,2.941,mcs
3g1h__1__1.A_1.B__1.O,3,0.233,0.004,0.229,0.237,mcs
3g1v__1__1.A_1.B__1.C,3,0.762,0.004,0.758,0.765,mcs
3gnc__1__1.A__1.F,3,1.068,0.022,1.047,1.091,mcs
3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,3,0.478,0.021,0.457,0.5,mcs
3hf6__1__1.A__1.C,3,0.972,0.376,0.608,1.358,mcs
3hf8__1__1.A__1.C,3,1.151,0.093,1.046,1.224,mcs
3hhe__1__1.A__1.C,3,1.023,0.01,1.016,1.035,mcs
3hxu__1__1.A__1.B,3,0.143,0.011,0.131,0.154,mcs
3i26__2__1.C_1.D__1.N,3,1.964,0.463,1.501,2.426,mcs
3i27__2__1.C_1.D__1.L,3,2.352,0.761,1.474,2.82,mcs
3ikg__1__1.A__1.C,3,0.69,0.009,0.681,0.699,mcs
3inb__1__1.A__1.F,3,0.531,0.006,0.525,0.536,mcs
3it3__1__1.B__1.D,3,1.216,0.713,0.804,2.04,mcs
3jsa__1__2.A__2.B,3,0.47,0.083,0.42,0.566,mcs
3ju4__1__1.A_2.A_3.A__1.B,3,0.583,0.763,0.103,1.463,mcs
3jvv__1__2.B__2.G_2.H,3,0.609,0.233,0.387,0.851,mcs
3k42__1__1.B__1.I,3,0.359,0.217,0.221,0.609,mcs
3k43__1__1.B__1.G,3,0.6,0.001,0.598,0.6,mcs
3k56__2__2.B__2.F_2.G,3,0.82,0.145,0.723,0.986,global
3kqn__1__1.A__1.C_1.D_1.E,3,0.705,0.025,0.676,0.723,mcs
3l4t__1__1.A__1.B,3,1.033,0.04,0.994,1.074,mcs
3l4x__1__1.A__1.C,3,1.039,0.273,0.786,1.328,mcs
3l9h__1__1.A__1.D,3,1.638,0.529,1.181,2.218,mcs
3le7__1__1.A__1.C,3,0.451,0.148,0.301,0.597,mcs
3lhu__1__1.A_1.B__1.C,3,0.649,0.146,0.562,0.818,mcs
3lhw__1__1.A_1.B__1.C,3,0.731,0.152,0.555,0.821,mcs
3lhy__1__1.A_1.B__1.C,3,0.644,0.151,0.555,0.818,mcs
3li1__1__1.A_1.B__1.C,3,0.641,0.153,0.55,0.818,mcs
3ltp__1__1.A_1.B__1.D,3,0.615,0.145,0.516,0.781,mcs
3lts__1__1.A_1.B__1.C,3,0.805,0.023,0.788,0.831,mcs
3lty__1__1.A_1.B__1.C,3,0.506,0.312,0.172,0.79,mcs
3lu6__1__1.A__1.D,3,2.109,0.043,2.059,2.139,mcs
3lu8__1__1.A__1.C,3,1.489,0.034,1.458,1.526,mcs
3lv5__1__1.A_1.B__1.C,3,0.542,0.004,0.538,0.546,mcs
3lv6__1__1.A_1.B__1.D,3,0.811,0.018,0.8,0.831,mcs
3maw__1__1.A__1.C,3,1.151,0.26,0.981,1.45,mcs
3n13__1__1.A__1.B,3,1.03,0.063,0.977,1.1,mcs
3n15__1__1.A__1.B,3,1.12,0.283,0.857,1.42,mcs
3n2v__1__1.A__1.B_1.G,3,0.234,0.057,0.183,0.296,mcs
3n5h__1__2.A__2.B_2.D,3,0.494,0.003,0.492,0.498,mcs
3n5j__1__2.A__2.B_2.D,3,0.511,0.01,0.502,0.521,mcs
3n76__1__12.A_7.A__12.B,3,1.04,0.412,0.566,1.306,mcs
3nkn__1__1.A__1.D,3,1.164,0.277,0.992,1.484,mcs
3nkp__1__1.A__1.D,3,1.433,0.694,0.889,2.214,mcs
3nq7__1__1.A_1.B__1.D,3,0.571,0.426,0.08,0.836,mcs
3nqa__1__1.A_1.B__1.C,3,0.796,0.001,0.795,0.797,mcs
3nqc__1__1.A_1.B__1.C,3,0.472,0.348,0.101,0.791,mcs
3nqd__1__1.A_1.B__1.C,3,0.708,0.144,0.542,0.794,mcs
3nqe__1__1.A_1.B__1.C,3,0.5,0.367,0.109,0.838,mcs
3nqf__1__1.A_1.B__1.C,3,0.721,0.158,0.541,0.836,mcs
3nqg__1__1.A_1.B__1.E,3,0.47,0.357,0.087,0.794,mcs
3nqm__1__1.A_1.B__1.C,3,0.486,0.337,0.122,0.787,mcs
3ntp__1__1.A__1.B,3,2.346,0.052,2.305,2.404,mcs
3nwd__3__1.C_3.C__3.O,3,0.542,0.144,0.406,0.693,mcs
3nwd__4__3.D__3.F,3,1.455,0.361,1.194,1.867,mcs
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,3,1.709,0.339,1.36,2.038,mcs
3oha__1__1.A__1.D_1.H_1.I,3,0.889,0.158,0.727,1.043,mcs
3ohb__1__1.A__1.D_1.E_1.F,3,0.635,0.086,0.536,0.686,mcs
3oky__1__2.B__2.C,3,1.873,0.439,1.383,2.231,mcs
3ova__1__2.A__2.C_2.E,3,0.994,0.175,0.868,1.194,mcs
3p5p__1__1.A__1.B_1.C_1.E,3,2.887,0.122,2.747,2.965,mcs
3p5y__1__1.A_1.B__1.E,3,0.81,0.036,0.769,0.831,mcs
3p5z__1__1.A_1.B__1.C,3,0.475,0.353,0.095,0.794,mcs
3p60__1__1.A_1.B__1.D,3,0.338,0.394,0.103,0.793,mcs
3p61__1__1.A_1.B__1.D,3,0.49,0.376,0.092,0.839,mcs
3pde__1__1.B__1.J_1.K_1.L_1.M,3,1.076,0.403,0.664,1.471,mcs
3phe__1__1.A__1.E,3,1.381,0.091,1.277,1.439,mcs
3plf__2__1.D__1.C,3,1.533,0.041,1.501,1.579,mcs
3q9b__1__1.A_1.I__1.FE_1.IE_1.T,3,1.185,0.238,0.941,1.416,mcs
3qcp__1__1.A__1.B,3,0.45,0.082,0.361,0.524,mcs
3qez__1__1.A_1.B__1.E,3,0.618,0.143,0.531,0.783,mcs
3qf0__1__1.A_1.B__1.D,3,0.714,0.167,0.523,0.833,mcs
3qkv__1__1.A__1.C,3,1.077,0.43,0.58,1.346,mcs
3qmr__1__1.A_1.B__1.C,3,0.705,0.145,0.538,0.79,mcs
3qms__1__1.A_1.B__1.C,3,0.486,0.349,0.115,0.806,mcs
3qmt__1__1.A_1.B__1.E,3,0.541,0.004,0.538,0.545,mcs
3qw7__1__1.A_1.B__1.B_1.C_1.F_1.G,3,2.826,1.027,2.206,4.012,mcs
3r1r__1__1.A__1.G,3,3.068,0.259,2.8,3.318,mcs
3r77__1__1.A_1.B__1.C,3,0.665,0.005,0.66,0.67,mcs
3rer__1__1.B_1.C__1.I,3,1.472,0.355,1.062,1.696,mcs
3rlu__1__1.A_1.B__1.D,3,0.724,0.166,0.534,0.839,mcs
3rlv__1__1.A_1.B__1.D,3,0.384,0.24,0.107,0.523,mcs
3rou__1__1.A_1.B__1.D,3,1.601,0.057,1.563,1.667,mcs
3s1e__1__1.A__1.B,3,0.674,0.212,0.432,0.824,mcs
3s1f__1__1.A__1.B,3,1.008,0.106,0.902,1.115,mcs
3sj3__1__1.A_1.B__1.C,3,0.542,0.004,0.54,0.547,mcs
3sw6__1__1.A_2.A__2.B,3,0.636,0.12,0.565,0.775,mcs
3t44__1__1.A__1.B_1.C,3,0.783,0.003,0.78,0.786,mcs
3tay__1__1.A__1.C_1.H,3,0.502,0.008,0.495,0.51,mcs
3thc__2__1.B__1.P,3,0.459,0.068,0.392,0.527,mcs
3thd__2__1.B__1.P,3,0.582,0.143,0.435,0.72,mcs
3thq__1__1.A_1.B__1.C,3,0.514,0.004,0.509,0.517,mcs
3tz3__1__1.A_2.A__1.D,3,2.457,1.281,0.979,3.25,mcs
3ue1__1__1.B__1.D,3,1.422,0.055,1.361,1.469,mcs
3uel__1__1.A__1.D,3,0.561,0.01,0.55,0.569,mcs
3v1p__1__1.A_1.B__1.E,3,0.702,0.16,0.517,0.797,mcs
3vlw__1__1.A__1.C_1.I,3,0.972,0.024,0.954,0.999,global
3vph__1__1.A_1.B_1.C_1.D__1.F_1.H_1.Q,3,1.287,0.073,1.216,1.362,global
3vv0__1__1.A__1.B,3,0.541,0.095,0.431,0.597,mcs
3vw2__1__1.A__1.E,3,0.644,0.006,0.638,0.649,mcs
3vw9__1__1.A_1.B__1.E_1.F,3,1.802,0.114,1.672,1.883,mcs
3vws__1__1.A__1.D_1.E,3,1.834,0.304,1.576,2.169,mcs
3w0t__1__1.A_1.B__1.F_1.G,3,1.962,0.055,1.9,2.001,mcs
3w0u__1__1.A_1.B__1.C_1.F,3,3.039,0.075,2.955,3.102,mcs
3w54__1__1.A__1.E_1.F_1.G_1.H,3,0.677,0.002,0.675,0.679,mcs
3w6c__1__1.A__1.E,3,1.077,0.056,1.014,1.122,mcs
3w6f__1__1.A__1.E,3,0.717,0.173,0.521,0.845,mcs
3w81__2__1.B__1.G,3,0.943,0.022,0.923,0.966,mcs
3was__1__2.A_3.A__2.C_2.E,3,0.51,0.004,0.505,0.514,global
3wf3__2__1.B__1.Q,3,0.411,0.265,0.186,0.703,mcs
3wgb__1__1.A_1.B_1.D__1.F,3,0.994,0.064,0.92,1.039,mcs
3wgx__1__1.A__1.C,3,2.444,0.336,2.058,2.675,mcs
3wjw__1__1.A_2.A__2.B,3,0.837,0.002,0.836,0.839,mcs
3wjy__1__1.A_2.A__1.B,3,0.536,0.0,0.536,0.536,mcs
3wno__2__1.B__1.DA_1.G,3,3.315,0.208,3.132,3.541,global
3woo__1__1.A__1.C,3,2.318,0.635,1.897,3.048,mcs
3woq__1__1.B__1.D,3,2.823,0.559,2.184,3.224,mcs
3wqy__1__1.A__1.D,3,0.273,0.011,0.264,0.285,mcs
3wsx__1__1.A__1.C,3,0.263,0.148,0.157,0.432,mcs
3wsy__1__1.A__1.F,3,0.288,0.016,0.27,0.298,mcs
3x0b__1__1.A_1.B__1.E,3,0.859,0.104,0.742,0.94,mcs
3zds__1__1.A_1.B__1.M_1.N,3,0.772,0.229,0.526,0.98,mcs
3zds__2__2.F_2.J__2.Y_2.Z,3,0.561,0.025,0.533,0.58,mcs
3zyg__1__1.A__1.D,3,0.105,0.015,0.091,0.12,mcs
4a1o__1__1.A_1.B__1.E_1.I,3,1.016,0.085,0.959,1.114,mcs
4a61__1__1.A__1.B_1.C,3,0.861,0.293,0.523,1.045,mcs
4a7g__1__1.B__1.O,3,1.204,0.01,1.194,1.214,mcs
4ad4__1__1.A__1.B,3,1.709,0.549,1.186,2.281,global
4ad5__1__1.A__1.B,3,1.665,0.607,1.192,2.349,global
4agt__1__1.A__1.J,3,0.479,0.002,0.478,0.482,global
4aha__1__1.A__1.K,3,0.504,0.004,0.501,0.509,global
4aqh__1__1.A__1.D,3,1.047,0.026,1.025,1.075,mcs
4au0__1__1.A__1.F,3,0.593,0.05,0.536,0.624,mcs
4avb__2__1.B__1.J_1.N,3,0.588,0.026,0.558,0.604,mcs
4avs__1__1.D__1.R,3,0.485,0.23,0.226,0.667,mcs
4ax7__2__1.B__1.T,3,0.602,0.028,0.571,0.621,mcs
