protein,model,confidence,ligand_rmsd,protein_ca_aligned_rmsd,protein_ca_unaligned_rmsd,protein_backbone_aligned_rmsd,protein_backbone_unaligned_rmsd,binding_site_aligned_rmsd,binding_site_unaligned_rmsd
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,0,0.9565768241882324,32.85225845396806,3.7412462843671372,29.076523,3.6117411175566163,29.255285,3.5102631376225983,30.48007583618164
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,1,0.948826253414154,29.632214888707292,3.7242064602494835,31.202604,3.593625254000799,31.295135,3.518415053263909,25.831438064575195
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,2,0.948320209980011,28.07952948698618,3.737729795985497,27.027784,3.6073381487712695,26.99633,3.510187696103362,24.738187789916992
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,3,0.9434553384780884,23.565643573911395,3.7344838180915976,29.95228,3.6031946323266815,30.071629,3.5302611179728496,22.021699905395508
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,4,0.932264506816864,31.945039693198066,3.7436880533803123,29.879704,3.614765342409586,29.956287,3.5201443532837873,31.323789596557617
5hcn__1__1.A__1.C_1.D,0,0.9463415145874023,8.17781012546299,10.32778821356772,47.62913,10.217023111444176,47.563023,7.5254163607772515,50.82809066772461
5hcn__1__1.A__1.C_1.D,1,0.9461523294448853,8.15009499800846,10.492195137935354,49.316418,10.375336868091617,49.38531,7.467658874127714,44.89048385620117
5hcn__1__1.A__1.C_1.D,2,0.9453057646751404,8.171335406544637,10.45942874689781,50.749973,10.345940642504706,50.660763,7.440436010017857,53.80889129638672
5hcn__1__1.A__1.C_1.D,3,0.9452959299087524,8.200837916868618,10.402669430381208,47.06657,10.291165444825117,47.10334,7.4567167133839325,49.20713424682617
5hcn__1__1.A__1.C_1.D,4,0.944765031337738,8.173530451841941,10.49818753263103,50.19414,10.393237238994018,50.25061,7.5423620213805735,42.600799560546875
7li5__1__1.A__1.C,0,0.9571661949157715,,18.124263882995077,43.831745,18.054929139677608,43.77931,17.10549145712,40.431182861328125
7li5__1__1.A__1.C,1,0.95709627866745,,18.18315896734591,41.888626,18.102047313268674,41.830677,17.070997777078816,36.704227447509766
7li5__1__1.A__1.C,2,0.9558947682380676,,18.132154951818755,44.660347,18.063484912877364,44.61845,17.135177268397378,40.54084396362305
7li5__1__1.A__1.C,3,0.9552224278450012,,18.178530231263153,43.076008,18.110905062364438,43.03244,17.097620127323324,39.32518768310547
7li5__1__1.A__1.C,4,0.9549795389175415,,18.141358936913814,41.284237,18.07038380891484,41.203693,17.070421298947448,38.10718536376953
3k42__1__1.B__1.I,0,0.918353259563446,21.875580492265147,16.409375931890164,42.220512,16.342740554778207,42.22187,14.502069686776121,46.643653869628906
3k42__1__1.B__1.I,1,0.9172701835632324,22.291849561266623,16.40142962309603,42.56705,16.334806380123496,42.563328,14.539337766560962,45.83417892456055
3k42__1__1.B__1.I,2,0.9159629940986633,22.165629796166726,16.417661334415996,45.5166,16.351067847718063,45.511486,14.547252004953133,46.24186325073242
3k42__1__1.B__1.I,3,0.9102396368980408,21.94816435702214,16.401515788003735,43.19134,16.33572764613915,43.195694,14.554441035165805,43.177833557128906
3k42__1__1.B__1.I,4,0.9069852232933044,22.00675490127974,16.433482065543863,43.727028,16.36735737670808,43.705147,14.582083418752221,52.54475021362305
2d3n__1__1.A__1.E,0,0.9555225372314453,37.057918649706096,9.864573833401998,80.847984,9.769862382651228,80.8587,8.812467342117573,75.69954681396484
2d3n__1__1.A__1.E,1,0.9547438025474548,37.192529072014544,9.866275740606312,78.12434,9.771424517978673,78.12823,8.820421520477021,70.51508331298828
2d3n__1__1.A__1.E,2,0.9546491503715515,37.02019809704442,9.872259779399586,74.75926,9.777866289884,74.76332,8.805060399882091,74.94573211669922
2d3n__1__1.A__1.E,3,0.9544662833213806,37.00192073673934,9.867857473179784,82.61335,9.77371288791799,82.521774,8.82782648721388,68.14389038085938
2d3n__1__1.A__1.E,4,0.9542102217674255,38.531372206164676,9.877256979316588,81.937,9.7823420117918,81.908295,8.860356791149702,73.74085235595703
1uoo__1__1.A__1.B,0,0.9763776659965515,3.1811372128625357,0.33861558689202714,107.09649,0.32687188403306316,107.11813,0.16053639817456083,94.68311309814453
1uoo__1__1.A__1.B,1,0.9763613939285278,3.167632159460289,0.32981845322831516,104.533775,0.3295354949507698,104.490425,0.16180503690514875,102.70525360107422
1uoo__1__1.A__1.B,2,0.9761520624160767,3.2041490227515936,0.3163374507805812,112.26085,0.3177479421635761,112.20172,0.1703515725775102,105.4579086303711
1uoo__1__1.A__1.B,3,0.9760622382164001,3.219157664395344,0.2856262963831811,111.11321,0.291406806261398,111.03487,0.16385170003172198,103.20249938964844
1uoo__1__1.A__1.B,4,0.9760524034500122,3.2214453495743354,0.3333251998004262,107.37155,0.3267500758853706,107.38083,0.15223291812703874,93.6973876953125
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,0,0.7191055417060852,27.53327184240598,3.4220456603370852,41.76317,3.3839601782489708,41.4034,,
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,1,0.701896607875824,20.899924752308895,3.424973281380006,42.437836,3.349341051303308,42.21167,,
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,2,0.6988826990127563,27.807364087202888,3.302154150414066,43.095867,3.299709837366373,42.7446,,
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,3,0.6875314116477966,27.25467679133253,3.3525057955316657,48.03691,3.351032089079311,48.32172,,
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,4,0.6855912208557129,19.234121635441443,3.4150639101556832,49.654015,3.347056183924002,50.082687,,
7ee5__1__1.A__1.H,0,0.9345703125,4.792191876992104,0.6950006401745435,55.262543,0.7931512727389943,55.179417,0.34206217236925396,65.66062927246094
7ee5__1__1.A__1.H,1,0.9311338663101196,4.802934186326294,0.8146743314245213,58.131317,0.8861693691408302,58.148083,0.3951143381819331,55.53193664550781
7ee5__1__1.A__1.H,2,0.9303938150405884,4.80909914021894,0.7932379218873099,57.510994,0.881749054390747,57.547504,0.4199881108796345,60.37253952026367
7ee5__1__1.A__1.H,3,0.9302978515625,4.844293923454499,0.7544774841043013,57.067318,0.841131294043523,57.084686,0.3592990676531898,56.76963806152344
7ee5__1__1.A__1.H,4,0.9302768111228943,4.797504119757575,0.9014799680639538,55.85361,0.9680060756143367,55.89487,0.39762526120904623,61.57685852050781
4kgq__1__3.A_3.B__3.F,0,0.9055860638618469,110.99315306521004,6.280838677083539,98.90975,6.134608056587157,98.89634,5.935768153885596,102.86538696289062
4kgq__1__3.A_3.B__3.F,1,0.890425980091095,94.12590469115592,6.299091526608582,98.79637,6.147794775803418,98.82787,5.969583509803106,93.03385162353516
4kgq__1__3.A_3.B__3.F,2,0.889192521572113,97.08263180919643,6.364634452679071,94.33027,6.214781683809226,94.33067,5.9438736666349765,95.17977905273438
4kgq__1__3.A_3.B__3.F,3,0.8885428309440613,91.68162931658041,6.2927192743266875,100.07271,6.146141185446402,100.08756,5.926740203943275,98.28812408447266
4kgq__1__3.A_3.B__3.F,4,0.8804816603660583,111.1537183603024,6.371578232145741,93.568214,6.228656174945258,93.55539,5.923564716260217,107.25093078613281
7vbv__1__1.B__1.N,0,0.9639875292778015,6.142521993758715,16.045658187507307,92.35215,16.00393784881265,92.37041,14.864279165364929,96.4781723022461
7vbv__1__1.B__1.N,1,0.9627844095230103,6.143797636602611,16.04905331183551,93.20278,16.007314241368423,93.19808,14.876011499406621,93.3843002319336
7vbv__1__1.B__1.N,2,0.9617785811424255,6.1380653522564765,16.0535324880153,94.41414,16.01320613924825,94.3859,14.83648288368222,98.2519760131836
7vbv__1__1.B__1.N,3,0.9617335200309753,6.123275870145389,16.053728582750857,94.61126,16.007891172357155,94.576324,14.846936318998592,80.04373168945312
7vbv__1__1.B__1.N,4,0.9593374133110046,6.144917813391269,16.017339672679192,91.78967,15.972822181352068,91.761955,14.82232714610232,76.240478515625
3ca5__2__2.A__2.D,0,0.950948178768158,27.161014291371217,0.4748401392100813,80.11958,0.4946516613557172,80.086426,0.3326907766276611,77.05378723144531
3ca5__2__2.A__2.D,1,0.9503746032714844,26.988027467253218,0.5135140503231653,82.17727,0.5250454488807281,82.126686,0.3936542213224938,54.37704849243164
3ca5__2__2.A__2.D,2,0.9503291249275208,26.891912382549407,0.6029366279409543,83.80591,0.6147425971763396,83.773384,0.44124638770438024,56.75510787963867
3ca5__2__2.A__2.D,3,0.9492522478103638,26.803887252211865,0.4930859602963854,83.19163,0.5107950578515429,83.1451,0.33787931578395175,56.46783447265625
3ca5__2__2.A__2.D,4,0.9491100311279297,27.319277586885157,0.5567916243397134,77.34827,0.5925839806823751,77.34198,0.33621328234727604,69.48919677734375
6y88__6__1.F__1.U,0,0.9736440777778625,6.874837412433207,3.76665133522419,63.75302,3.4835650589758274,63.74655,3.653170820307371,63.976097106933594
6y88__6__1.F__1.U,1,0.9726853370666504,6.910056582918149,3.7946695599586966,66.68395,3.50605565186598,66.67859,3.67780945964538,63.504940032958984
6y88__6__1.F__1.U,2,0.9723702669143677,6.911209184266936,3.7715048072733044,65.62537,3.4810667090042506,65.48552,3.652902571963577,66.4151382446289
6y88__6__1.F__1.U,3,0.9720277786254883,6.919914158521357,3.7776601404871952,63.950275,3.487399830646402,63.793106,3.6746919396086235,75.29174041748047
6y88__6__1.F__1.U,4,0.9716235399246216,6.899692882799678,3.775502608726741,68.10207,3.487185660589466,68.011925,3.658837410804773,68.50768280029297
1lqv__2__1.B__1.J,0,0.9194284677505493,30.628409055762965,15.184096758392727,75.25072,15.135187158461125,75.226715,9.511712272187264,85.30818939208984
1lqv__2__1.B__1.J,1,0.9188767671585083,33.41302381410792,15.138348582892883,73.84259,15.08108322978204,73.824455,9.49064653664566,80.16826629638672
1lqv__2__1.B__1.J,2,0.9118946194648743,25.574993892639963,15.149435807012592,76.01461,15.094743670211066,76.01125,9.493551821192588,87.92041778564453
1lqv__2__1.B__1.J,3,0.9112204909324646,26.09653357861921,15.170118069991807,75.194756,15.110213956750288,75.17508,9.485393702749187,89.74726867675781
1lqv__2__1.B__1.J,4,0.9095482230186462,25.51225046826944,15.158124711663536,74.77017,15.097520622835367,74.7416,9.497041177197676,84.69540405273438
8eg6__2__1.G_1.H__1.AA,0,0.908351719379425,48.191800193393895,15.157530040544515,50.53107,15.138739295601312,50.537426,10.669509066039987,51.78022384643555
8eg6__2__1.G_1.H__1.AA,1,0.8982011079788208,50.723242359691476,14.966267673920818,51.39315,14.947511226540005,51.29441,10.705270661045752,43.58209991455078
8eg6__2__1.G_1.H__1.AA,2,0.8978790640830994,47.42344633364387,14.92047413499793,50.439842,14.914905286412733,50.417492,10.695700697175093,48.90838623046875
8eg6__2__1.G_1.H__1.AA,3,0.8964706659317017,44.49060394645144,14.986315374091724,49.36732,14.967065379709506,49.3706,10.713487477724096,43.667816162109375
8eg6__2__1.G_1.H__1.AA,4,0.8936020135879517,48.12273465670877,16.287721080636132,49.134445,16.20516675149799,49.222923,10.627231689225727,49.50288009643555
5e62__2__2.C_2.D_3.D__3.N,0,0.7685402035713196,28.769944356666983,28.02152640338189,54.563164,27.892134866273025,54.518982,8.604301730357893,14.542252540588379
5e62__2__2.C_2.D_3.D__3.N,1,0.7495781183242798,25.88002747155751,26.54100767959087,59.74026,26.410127665737146,59.73255,6.311475825071523,12.21602725982666
5e62__2__2.C_2.D_3.D__3.N,2,0.7473275661468506,13.751651921548499,27.615945364225656,60.81201,27.481060648271892,60.774372,7.183983026138273,23.803607940673828
5e62__2__2.C_2.D_3.D__3.N,3,0.7471334934234619,12.791402285463912,28.068361892522265,60.989365,28.005597520090383,60.925583,6.622737815243012,22.477428436279297
5e62__2__2.C_2.D_3.D__3.N,4,0.7439771294593811,9.722990177923663,25.787592421385465,59.82083,25.67907696661328,59.765686,6.170640555621314,32.83209228515625
6hmh__1__1.A__1.B_1.D_1.E,0,0.9606267809867859,25.78975676419849,18.13747200986995,41.331394,18.098962477742674,41.32237,15.800499929202234,33.649009704589844
6hmh__1__1.A__1.B_1.D_1.E,1,0.9597523808479309,25.351569976253334,18.107737880700544,37.435223,18.069711947687946,37.37359,15.786520098436533,32.84661102294922
6hmh__1__1.A__1.B_1.D_1.E,2,0.9546933174133301,19.727451876046718,18.10012459990682,40.924,18.062347614659366,40.93604,15.75493656097183,35.145362854003906
6hmh__1__1.A__1.B_1.D_1.E,3,0.9470330476760864,14.105970948194397,18.106543677012933,41.599022,18.068279405947195,41.751816,15.739343647253767,34.142051696777344
6hmh__1__1.A__1.B_1.D_1.E,4,0.9431630969047546,18.324653302373115,18.10344164415122,40.619156,18.065371749553908,40.689438,15.738748159352117,34.646278381347656
