target_id,method,model_id,ref_prot_path,ref_lig_path,pred_complex_path,rmsd,n_atoms,pocket_atoms,success,error
4jvo__1__1.A__1.C,mcs,8,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4jvo__1__1.A__1.C/predictions/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_model_8.pdb,0.15302647343745548,28.0,29.0,True,
4jvo__1__1.A__1.C,mcs,0,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4jvo__1__1.A__1.C/predictions/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_model_0.pdb,0.15274930585134522,28.0,29.0,True,
4jvo__1__1.A__1.C,mcs,1,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4jvo__1__1.A__1.C/predictions/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_model_1.pdb,0.16185339094044077,28.0,29.0,True,
4jvo__1__1.A__1.C,mcs,3,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4jvo__1__1.A__1.C/predictions/4jvo__1__1.A__1.C/4jvo__1__1.A__1.C_model_3.pdb,0.1603612667634868,28.0,29.0,True,
3l4x__1__1.A__1.C,mcs,8,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_3l4x__1__1.A__1.C/predictions/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_model_8.pdb,0.3788343430434989,26.0,23.0,True,
3l4x__1__1.A__1.C,mcs,9,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_3l4x__1__1.A__1.C/predictions/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_model_9.pdb,0.3754365319213128,26.0,23.0,True,
3l4x__1__1.A__1.C,mcs,2,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_3l4x__1__1.A__1.C/predictions/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_model_2.pdb,0.8614472301743821,26.0,23.0,True,
3l4x__1__1.A__1.C,mcs,3,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_3l4x__1__1.A__1.C/predictions/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_model_3.pdb,0.3765983908315248,26.0,23.0,True,
3l4x__1__1.A__1.C,mcs,1,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_3l4x__1__1.A__1.C/predictions/3l4x__1__1.A__1.C/3l4x__1__1.A__1.C_model_1.pdb,0.37666016063612606,26.0,23.0,True,
4s3q__1__1.A__1.D,mcs,3,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4s3q__1__1.A__1.D/predictions/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_model_3.pdb,0.011926837467783917,23.0,25.0,True,
4s3q__1__1.A__1.D,mcs,2,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4s3q__1__1.A__1.D/predictions/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_model_2.pdb,0.01103141627615195,23.0,25.0,True,
4s3q__1__1.A__1.D,mcs,0,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4s3q__1__1.A__1.D/predictions/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_model_0.pdb,0.012190203952213399,23.0,25.0,True,
4s3q__1__1.A__1.D,mcs,1,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4s3q__1__1.A__1.D/predictions/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_model_1.pdb,0.010701774992461619,23.0,25.0,True,
4s3q__1__1.A__1.D,mcs,5,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4s3q__1__1.A__1.D/predictions/4s3q__1__1.A__1.D/4s3q__1__1.A__1.D_model_5.pdb,0.011587172594542694,23.0,25.0,True,
5h41__1__1.A__1.C_1.E_1.F,mcs,3,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_5h41__1__1.A__1.C_1.E_1.F/predictions/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_model_3.pdb,0.0,23.0,24.0,True,
5h41__1__1.A__1.C_1.E_1.F,mcs,2,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_5h41__1__1.A__1.C_1.E_1.F/predictions/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_model_2.pdb,0.0,23.0,24.0,True,
5h41__1__1.A__1.C_1.E_1.F,mcs,0,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_5h41__1__1.A__1.C_1.E_1.F/predictions/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_model_0.pdb,0.0,23.0,24.0,True,
5h41__1__1.A__1.C_1.E_1.F,mcs,1,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_5h41__1__1.A__1.C_1.E_1.F/predictions/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_model_1.pdb,0.0,23.0,24.0,True,
5h41__1__1.A__1.C_1.E_1.F,mcs,5,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_5h41__1__1.A__1.C_1.E_1.F/predictions/5h41__1__1.A__1.C_1.E_1.F/5h41__1__1.A__1.C_1.E_1.F_model_5.pdb,0.0,23.0,24.0,True,
8e0t__1__1.B__1.E,mcs,3,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_8e0t__1__1.B__1.E/predictions/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_model_3.pdb,0.7501842453387018,19.0,24.0,True,
8e0t__1__1.B__1.E,mcs,2,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_8e0t__1__1.B__1.E/predictions/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_model_2.pdb,0.7498859594326103,19.0,24.0,True,
8e0t__1__1.B__1.E,mcs,0,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_8e0t__1__1.B__1.E/predictions/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_model_0.pdb,0.7491265405409803,19.0,24.0,True,
8e0t__1__1.B__1.E,mcs,1,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_8e0t__1__1.B__1.E/predictions/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_model_1.pdb,0.7530521985605304,19.0,24.0,True,
8e0t__1__1.B__1.E,mcs,5,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_8e0t__1__1.B__1.E/predictions/8e0t__1__1.B__1.E/8e0t__1__1.B__1.E_model_5.pdb,0.7504442325415891,19.0,24.0,True,
7uas__1__1.A__1.C,mcs,2,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_7uas__1__1.A__1.C/predictions/7uas__1__1.A__1.C/7uas__1__1.A__1.C_model_2.pdb,0.0008515756296331732,40.0,42.0,True,
7uas__1__1.A__1.C,mcs,3,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_7uas__1__1.A__1.C/predictions/7uas__1__1.A__1.C/7uas__1__1.A__1.C_model_3.pdb,0.00027096436718639766,40.0,42.0,True,
7uas__1__1.A__1.C,mcs,1,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_7uas__1__1.A__1.C/predictions/7uas__1__1.A__1.C/7uas__1__1.A__1.C_model_1.pdb,3.29397507460986e-05,40.0,42.0,True,
7uas__1__1.A__1.C,mcs,0,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_7uas__1__1.A__1.C/predictions/7uas__1__1.A__1.C/7uas__1__1.A__1.C_model_0.pdb,0.0008829154729195201,40.0,42.0,True,
7uas__1__1.A__1.C,mcs,4,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7uas__1__1.A__1.C/7uas__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_7uas__1__1.A__1.C/predictions/7uas__1__1.A__1.C/7uas__1__1.A__1.C_model_4.pdb,0.00020647764744145285,40.0,42.0,True,
4r9j__1__1.A_1.C__1.S,mcs,8,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4r9j__1__1.A_1.C__1.S/predictions/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_model_8.pdb,0.0026174226201711656,16.0,5.0,True,
4r9j__1__1.A_1.C__1.S,mcs,9,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4r9j__1__1.A_1.C__1.S/predictions/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_model_9.pdb,0.003701533632941257,16.0,5.0,True,
4r9j__1__1.A_1.C__1.S,mcs,4,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4r9j__1__1.A_1.C__1.S/predictions/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_model_4.pdb,0.0026487767208092797,16.0,5.0,True,
4r9j__1__1.A_1.C__1.S,mcs,5,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4r9j__1__1.A_1.C__1.S/predictions/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_model_5.pdb,0.0031384703084019515,16.0,5.0,True,
4r9j__1__1.A_1.C__1.S,mcs,7,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_protein.pdb,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/boltz/inference/plinder_set_0/boltz_results_4r9j__1__1.A_1.C__1.S/predictions/4r9j__1__1.A_1.C__1.S/4r9j__1__1.A_1.C__1.S_model_7.pdb,0.0038019198765628453,16.0,5.0,True,
