protein,idx,rmsd
2ybe__1__1.A__1.B_1.D_1.E_1.F,4,1.42465
3afk__1__1.B__1.D_1.F,0,2.43322
3afk__1__1.B__1.D_1.F,1,2.46802
3afk__1__1.B__1.D_1.F,2,2.69123
3afk__1__1.B__1.D_1.F,3,2.03228
3afk__1__1.B__1.D_1.F,4,2.33473
3b03__1__1.A__1.E_1.F,0,0.538726
3b03__1__1.A__1.E_1.F,1,0.391761
3b03__1__1.A__1.E_1.F,2,0.530131
3b03__1__1.A__1.E_1.F,3,0.517144
3b03__1__1.A__1.E_1.F,4,0.531945
3b04__1__1.C__1.I_1.J,0,0.2957
3b04__1__1.C__1.I_1.J,1,0.52871
3b04__1__1.C__1.I_1.J,2,0.309966
3b04__1__1.C__1.I_1.J,3,0.288502
3b04__1__1.C__1.I_1.J,4,0.306649
3b1d__1__1.A_1.B__1.G_1.K,0,30.634
3b1d__1__1.A_1.B__1.G_1.K,1,30.6534
3b1d__1__1.A_1.B__1.G_1.K,2,30.6032
3b1d__1__1.A_1.B__1.G_1.K,3,30.6555
3b1d__1__1.A_1.B__1.G_1.K,4,30.6288
3b1e__1__1.A_1.B__1.F_1.J,0,28.7695
3b1e__1__1.A_1.B__1.F_1.J,1,28.7352
3b1e__1__1.A_1.B__1.F_1.J,2,28.7866
3b1e__1__1.A_1.B__1.F_1.J,3,28.855
3b1e__1__1.A_1.B__1.F_1.J,4,28.7703
3b6p__2__1.D__1.N_1.O_1.P,0,0.685328
3b6p__2__1.D__1.N_1.O_1.P,1,0.619637
3b6p__2__1.D__1.N_1.O_1.P,2,0.519161
3b6p__2__1.D__1.N_1.O_1.P,3,0.564596
3b6p__2__1.D__1.N_1.O_1.P,4,0.4543
3bos__1__1.A_1.B__1.M_1.P_1.U,0,30.5334
3bos__1__1.A_1.B__1.M_1.P_1.U,1,30.245
3bos__1__1.A_1.B__1.M_1.P_1.U,2,30.3007
3bos__1__1.A_1.B__1.M_1.P_1.U,3,30.5602
3bos__1__1.A_1.B__1.M_1.P_1.U,4,30.4471
3d1r__1__1.A__1.B_1.D,0,0.900833
3d1r__1__1.A__1.B_1.D,1,0.779479
3d1r__1__1.A__1.B_1.D,2,0.780715
3d1r__1__1.A__1.B_1.D,3,0.771843
3d1r__1__1.A__1.B_1.D,4,0.803097
3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,0,35.7616
3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,1,35.7912
3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,2,35.9473
3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,3,35.6728
3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,4,35.6087
3elh__2__1.F__1.Q_1.R,0,1.4749
3elh__2__1.F__1.Q_1.R,1,1.29643
3elh__2__1.F__1.Q_1.R,2,0.776468
3elh__2__1.F__1.Q_1.R,3,0.903173
3elh__2__1.F__1.Q_1.R,4,0.662112
3jvv__1__2.B__2.G_2.H,0,1.58373
3jvv__1__2.B__2.G_2.H,1,2.26259
3jvv__1__2.B__2.G_2.H,2,2.41496
3jvv__1__2.B__2.G_2.H,3,1.79672
3jvv__1__2.B__2.G_2.H,4,1.48964
3k56__2__2.B__2.F_2.G,0,0.927365
3k56__2__2.B__2.F_2.G,1,0.940361
3k56__2__2.B__2.F_2.G,2,1.24433
3k56__2__2.B__2.F_2.G,3,0.986704
3k56__2__2.B__2.F_2.G,4,0.905614
3kqn__1__1.A__1.C_1.D_1.E,0,0.844048
3kqn__1__1.A__1.C_1.D_1.E,1,1.06146
3kqn__1__1.A__1.C_1.D_1.E,2,0.803352
3kqn__1__1.A__1.C_1.D_1.E,3,1.04469
3kqn__1__1.A__1.C_1.D_1.E,4,0.990358
3n5h__1__2.A__2.B_2.D,0,0.596589
3n5h__1__2.A__2.B_2.D,1,0.612542
3n5h__1__2.A__2.B_2.D,2,0.666674
3n5h__1__2.A__2.B_2.D,3,0.781369
3n5h__1__2.A__2.B_2.D,4,0.75665
3n5j__1__2.A__2.B_2.D,0,1.08822
3n5j__1__2.A__2.B_2.D,1,1.14238
3n5j__1__2.A__2.B_2.D,2,0.937417
3n5j__1__2.A__2.B_2.D,3,0.841837
3n5j__1__2.A__2.B_2.D,4,0.872181
3ova__1__2.A__2.C_2.E,0,2.06924
3ova__1__2.A__2.C_2.E,1,1.43643
3ova__1__2.A__2.C_2.E,2,1.119
3ova__1__2.A__2.C_2.E,3,1.11893
3ova__1__2.A__2.C_2.E,4,1.08183
3p5p__1__1.A__1.B_1.C_1.E,0,3.06956
3p5p__1__1.A__1.B_1.C_1.E,1,3.11449
3p5p__1__1.A__1.B_1.C_1.E,2,3.68013
3p5p__1__1.A__1.B_1.C_1.E,3,2.65891
3p5p__1__1.A__1.B_1.C_1.E,4,2.73998
3pde__1__1.B__1.J_1.K_1.L_1.M,0,7.96297
3pde__1__1.B__1.J_1.K_1.L_1.M,1,8.33313
3pde__1__1.B__1.J_1.K_1.L_1.M,2,7.59325
3pde__1__1.B__1.J_1.K_1.L_1.M,3,7.55734
3pde__1__1.B__1.J_1.K_1.L_1.M,4,8.01644
3t44__1__1.A__1.B_1.C,0,0.284451
3t44__1__1.A__1.B_1.C,1,0.223247
3t44__1__1.A__1.B_1.C,2,0.193578
3t44__1__1.A__1.B_1.C,3,0.285453
3t44__1__1.A__1.B_1.C,4,0.281458
3tay__1__1.A__1.C_1.H,0,0.639696
3tay__1__1.A__1.C_1.H,1,0.659047
3tay__1__1.A__1.C_1.H,2,0.75169
3tay__1__1.A__1.C_1.H,3,0.775826
3tay__1__1.A__1.C_1.H,4,0.665857
3vlw__1__1.A__1.C_1.I,0,1.61365
3vlw__1__1.A__1.C_1.I,1,1.29629
3vlw__1__1.A__1.C_1.I,2,1.07051
3vlw__1__1.A__1.C_1.I,3,1.21563
3vlw__1__1.A__1.C_1.I,4,1.10892
3vws__1__1.A__1.D_1.E,0,15.0147
3vws__1__1.A__1.D_1.E,1,4.92202
3vws__1__1.A__1.D_1.E,2,15.0937
3vws__1__1.A__1.D_1.E,3,6.99422
3vws__1__1.A__1.D_1.E,4,7.05144
3w0u__1__1.A_1.B__1.C_1.F,0,1.69012
3w0u__1__1.A_1.B__1.C_1.F,1,1.22242
3w0u__1__1.A_1.B__1.C_1.F,2,1.54165
3w0u__1__1.A_1.B__1.C_1.F,3,1.38358
3w0u__1__1.A_1.B__1.C_1.F,4,1.24753
3w54__1__1.A__1.E_1.F_1.G_1.H,0,2.84835
3w54__1__1.A__1.E_1.F_1.G_1.H,1,2.84787
3w54__1__1.A__1.E_1.F_1.G_1.H,2,2.85544
3w54__1__1.A__1.E_1.F_1.G_1.H,3,2.84778
3w54__1__1.A__1.E_1.F_1.G_1.H,4,2.83885
3wno__2__1.B__1.DA_1.G,0,32.0317
3wno__2__1.B__1.DA_1.G,1,33.708
3wno__2__1.B__1.DA_1.G,2,33.5268
3wno__2__1.B__1.DA_1.G,3,33.5466
3wno__2__1.B__1.DA_1.G,4,32.1932
3zds__1__1.A_1.B__1.M_1.N,0,3.7642
3zds__1__1.A_1.B__1.M_1.N,1,2.73264
3zds__1__1.A_1.B__1.M_1.N,2,3.5964
3zds__1__1.A_1.B__1.M_1.N,3,3.39556
3zds__1__1.A_1.B__1.M_1.N,4,2.79924
3zds__2__2.F_2.J__2.Y_2.Z,0,47.533
3zds__2__2.F_2.J__2.Y_2.Z,1,47.5044
3zds__2__2.F_2.J__2.Y_2.Z,2,47.5337
3zds__2__2.F_2.J__2.Y_2.Z,3,47.6729
3zds__2__2.F_2.J__2.Y_2.Z,4,47.5427
4a1o__1__1.A_1.B__1.E_1.I,0,57.3063
4a1o__1__1.A_1.B__1.E_1.I,1,57.7412
4a1o__1__1.A_1.B__1.E_1.I,2,56.6234
4a1o__1__1.A_1.B__1.E_1.I,3,57.4443
4a1o__1__1.A_1.B__1.E_1.I,4,56.4081
4a61__1__1.A__1.B_1.C,0,0.885125
4a61__1__1.A__1.B_1.C,1,0.780234
4a61__1__1.A__1.B_1.C,2,0.758662
4a61__1__1.A__1.B_1.C,3,0.873335
4a61__1__1.A__1.B_1.C,4,0.832448
4avb__2__1.B__1.J_1.N,0,0.842748
4avb__2__1.B__1.J_1.N,1,0.733278
4avb__2__1.B__1.J_1.N,2,0.979945
4avb__2__1.B__1.J_1.N,3,0.789834
4avb__2__1.B__1.J_1.N,4,0.570883
4bcc__1__1.A__1.B_1.F,0,6.11245
4bcc__1__1.A__1.B_1.F,1,4.86561
4bcc__1__1.A__1.B_1.F,2,5.09215
4bcc__1__1.A__1.B_1.F,3,5.78462
4bcc__1__1.A__1.B_1.F,4,5.63828
4c7w__1__1.A__1.M_1.N,0,36.62
4c7w__1__1.A__1.M_1.N,1,37.757
4c7w__1__1.A__1.M_1.N,2,37.1319
4c7w__1__1.A__1.M_1.N,3,36.7653
4c7w__1__1.A__1.M_1.N,4,37.0237
4c7w__1__1.B__1.G_1.R,0,36.8857
4c7w__1__1.B__1.G_1.R,1,36.182
4c7w__1__1.B__1.G_1.R,2,36.0137
4c7w__1__1.B__1.G_1.R,3,38.0628
4c7w__1__1.B__1.G_1.R,4,38.5662
4cyi__2__1.C__1.M_1.N,0,0.892373
4cyi__2__1.C__1.M_1.N,1,1.11094
4cyi__2__1.C__1.M_1.N,2,1.01539
4cyi__2__1.C__1.M_1.N,3,1.09213
4cyi__2__1.C__1.M_1.N,4,1.04367
4cyj__1__1.A__1.G_1.H,0,1.14639
4cyj__1__1.A__1.G_1.H,1,1.0281
4cyj__1__1.A__1.G_1.H,2,0.820078
4cyj__1__1.A__1.G_1.H,3,0.910945
4cyj__1__1.A__1.G_1.H,4,0.87448
4d4b__1__1.A__1.C_1.E,0,6.39962
4d4b__1__1.A__1.C_1.E,1,6.42683
4d4b__1__1.A__1.C_1.E,2,6.01327
4d4b__1__1.A__1.C_1.E,3,6.37601
4d4b__1__1.A__1.C_1.E,4,6.18008
4dhl__2__1.B_1.D__1.V_1.W_1.X,0,2.01782
4dhl__2__1.B_1.D__1.V_1.W_1.X,1,0.835674
4dhl__2__1.B_1.D__1.V_1.W_1.X,2,3.79899
4dhl__2__1.B_1.D__1.V_1.W_1.X,3,1.49999
4dhl__2__1.B_1.D__1.V_1.W_1.X,4,1.02262
4edh__1__1.A__1.C_1.D_1.E,0,0.751609
4edh__1__1.A__1.C_1.D_1.E,1,0.798166
4edh__1__1.A__1.C_1.D_1.E,2,0.581402
4edh__1__1.A__1.C_1.D_1.E,3,0.76821
4edh__1__1.A__1.C_1.D_1.E,4,0.552162
4ffo__1__1.A__1.B_1.C_1.D_1.E,0,23.6929
4ffo__1__1.A__1.B_1.C_1.D_1.E,1,24.0126
4ffo__1__1.A__1.B_1.C_1.D_1.E,2,23.9111
4ffo__1__1.A__1.B_1.C_1.D_1.E,3,23.9008
4ffo__1__1.A__1.B_1.C_1.D_1.E,4,23.9317
4gyz__3__1.C__1.O_1.P,0,1.17754
4gyz__3__1.C__1.O_1.P,1,1.53688
4gyz__3__1.C__1.O_1.P,2,1.71558
4gyz__3__1.C__1.O_1.P,3,1.23858
4gyz__3__1.C__1.O_1.P,4,3.25771
4i4y__2__1.C__1.H_1.O,0,24.486
4i4y__2__1.C__1.H_1.O,1,24.4022
4i4y__2__1.C__1.H_1.O,2,24.247
4i4y__2__1.C__1.H_1.O,3,24.3964
4i4y__2__1.C__1.H_1.O,4,24.6301
4iu4__1__3.A__3.B_3.C_3.F,0,0.505457
4iu4__1__3.A__3.B_3.C_3.F,1,0.474814
4iu4__1__3.A__3.B_3.C_3.F,2,0.514984
4iu4__1__3.A__3.B_3.C_3.F,3,0.485803
4iu4__1__3.A__3.B_3.C_3.F,4,0.4959
4jp4__1__1.A_1.B__1.I_1.N,0,37.0394
4jp4__1__1.A_1.B__1.I_1.N,1,37.1472
4jp4__1__1.A_1.B__1.I_1.N,2,37.1657
4jp4__1__1.A_1.B__1.I_1.N,3,37.0996
4jp4__1__1.A_1.B__1.I_1.N,4,37.2211
4js1__1__1.A__1.C_1.D,0,0.46913
4js1__1__1.A__1.C_1.D,1,0.402101
4js1__1__1.A__1.C_1.D,2,0.356958
4js1__1__1.A__1.C_1.D,3,0.278731
4js1__1__1.A__1.C_1.D,4,0.352745
4tlc__1__1.C_1.D__1.M_1.O,0,0.747754
4tlc__1__1.C_1.D__1.M_1.O,1,0.98407
4tlc__1__1.C_1.D__1.M_1.O,2,0.820054
4tlc__1__1.C_1.D__1.M_1.O,3,0.807803
4tlc__1__1.C_1.D__1.M_1.O,4,0.761334
4x2a__1__1.A_1.B__1.C_1.E,0,33.3354
4x2a__1__1.A_1.B__1.C_1.E,1,33.2187
4x2a__1__1.A_1.B__1.C_1.E,2,5.49219
4x2a__1__1.A_1.B__1.C_1.E,3,7.32656
4x2a__1__1.A_1.B__1.C_1.E,4,7.59259
4xm6__1__1.A__1.B_1.C,0,3.1601
4xm6__1__1.A__1.B_1.C,1,3.19722
4xm6__1__1.A__1.B_1.C,2,3.1407
4xm6__1__1.A__1.B_1.C,3,3.31798
4xm6__1__1.A__1.B_1.C,4,3.24811
4yzl__1__1.A__1.B_1.C,0,4.19607
4yzl__1__1.A__1.B_1.C,1,4.19784
4yzl__1__1.A__1.B_1.C,2,4.1499
4yzl__1__1.A__1.B_1.C,3,4.07884
4yzl__1__1.A__1.B_1.C,4,2.42977
4z2j__1__1.A__1.B_1.D,0,4.63092
4z2j__1__1.A__1.B_1.D,1,4.36846
4z2j__1__1.A__1.B_1.D,2,1.27827
4z2j__1__1.A__1.B_1.D,3,1.5713
4z2j__1__1.A__1.B_1.D,4,1.36534
4zmm__1__1.A_1.B__1.C_1.D,0,9.24237
4zmm__1__1.A_1.B__1.C_1.D,1,9.39185
4zmm__1__1.A_1.B__1.C_1.D,2,9.38502
4zmm__1__1.A_1.B__1.C_1.D,3,9.34374
4zmm__1__1.A_1.B__1.C_1.D,4,9.39714
5adv__2__1.C__1.L_1.M_1.N,0,6.57762
5adv__2__1.C__1.L_1.M_1.N,1,6.66904
5adv__2__1.C__1.L_1.M_1.N,2,6.60286
5adv__2__1.C__1.L_1.M_1.N,3,6.78231
5adv__2__1.C__1.L_1.M_1.N,4,6.65712
5d4u__1__1.C__1.P_1.S,0,0.622369
5d4u__1__1.C__1.P_1.S,1,0.538447
5d4u__1__1.C__1.P_1.S,2,0.508976
5d4u__1__1.C__1.P_1.S,3,0.569202
5d4u__1__1.C__1.P_1.S,4,0.605047
5d4v__2__1.B__1.I_1.L,0,0.652228
5d4v__2__1.B__1.I_1.L,1,0.669664
5d4v__2__1.B__1.I_1.L,2,0.572746
5d4v__2__1.B__1.I_1.L,3,0.477896
5d4v__2__1.B__1.I_1.L,4,0.619803
5d61__1__1.A__1.D_1.L,0,28.099
5d61__1__1.A__1.D_1.L,1,28.4501
5d61__1__1.A__1.D_1.L,2,28.8595
5d61__1__1.A__1.D_1.L,3,28.2827
5d61__1__1.A__1.D_1.L,4,28.4014
5df1__2__1.B__1.G_1.H,0,0.317015
5df1__2__1.B__1.G_1.H,1,0.311458
5df1__2__1.B__1.G_1.H,2,0.395581
5df1__2__1.B__1.G_1.H,3,0.419427
5df1__2__1.B__1.G_1.H,4,0.327043
5e1q__2__1.B__1.D_1.G,0,8.74367
5e1q__2__1.B__1.D_1.G,1,7.79447
5e1q__2__1.B__1.D_1.G,2,8.71461
5e1q__2__1.B__1.D_1.G,3,8.78617
5e1q__2__1.B__1.D_1.G,4,8.74065
5eat__1__1.A__1.B_1.C_1.D_1.E,0,2.62444
5eat__1__1.A__1.B_1.C_1.D_1.E,1,2.3552
5eat__1__1.A__1.B_1.C_1.D_1.E,2,2.41358
5eat__1__1.A__1.B_1.C_1.D_1.E,3,2.31854
5eat__1__1.A__1.B_1.C_1.D_1.E,4,2.2833
5f2n__1__1.B__1.E_1.F,0,0.293595
5f2n__1__1.B__1.E_1.F,1,0.22891
5f2n__1__1.B__1.E_1.F,2,0.323688
5f2n__1__1.B__1.E_1.F,3,0.22573
5f2n__1__1.B__1.E_1.F,4,0.295833
5flj__2__1.L__1.YA_1.ZA,0,0.254385
5flj__2__1.L__1.YA_1.ZA,1,0.313739
5flj__2__1.L__1.YA_1.ZA,2,0.318848
5flj__2__1.L__1.YA_1.ZA,3,0.249705
5flj__2__1.L__1.YA_1.ZA,4,0.299612
5fux__1__1.A__1.C_1.E_1.F,0,0.348081
5fux__1__1.A__1.C_1.E_1.F,1,0.34013
5fux__1__1.A__1.C_1.E_1.F,2,0.47477
5fux__1__1.A__1.C_1.E_1.F,3,0.408543
5fux__1__1.A__1.C_1.E_1.F,4,0.340127
5hcn__1__1.A__1.C_1.D,0,1.12172
5hcn__1__1.A__1.C_1.D,1,1.21973
5hcn__1__1.A__1.C_1.D,2,1.29527
5hcn__1__1.A__1.C_1.D,3,0.799357
5hcn__1__1.A__1.C_1.D,4,1.34345
5iul__2__1.E__1.P_1.Q,0,18.5042
5iul__2__1.E__1.P_1.Q,1,14.9935
5iul__2__1.E__1.P_1.Q,2,12.7436
5iul__2__1.E__1.P_1.Q,3,14.7502
5iul__2__1.E__1.P_1.Q,4,17.9952
5j42__1__1.A__1.C_1.D,0,0.356968
5j42__1__1.A__1.C_1.D,1,0.903955
5j42__1__1.A__1.C_1.D,2,1.24303
5j42__1__1.A__1.C_1.D,3,0.510536
5j42__1__1.A__1.C_1.D,4,0.86009
5kgp__1__1.B__1.D_1.L,0,2.91208
5kgp__1__1.B__1.D_1.L,1,2.89875
5kgp__1__1.B__1.D_1.L,2,2.82575
5kgp__1__1.B__1.D_1.L,3,2.83919
5kgp__1__1.B__1.D_1.L,4,2.65931
5lia__1__1.A__1.D_1.M,0,4.54215
5lia__1__1.A__1.D_1.M,1,4.44218
5lia__1__1.A__1.D_1.M,2,7.40113
5lia__1__1.A__1.D_1.M,3,4.36594
5lia__1__1.A__1.D_1.M,4,7.24298
5m77__2__1.B__1.D_1.R,0,0.932322
5m77__2__1.B__1.D_1.R,1,0.96058
5m77__2__1.B__1.D_1.R,2,1.06148
5m77__2__1.B__1.D_1.R,3,1.37342
5m77__2__1.B__1.D_1.R,4,0.999639
5n2v__2__1.E_1.F__1.K_1.L_1.M_1.N,0,13.4472
5n2v__2__1.E_1.F__1.K_1.L_1.M_1.N,1,14.3664
5n2v__2__1.E_1.F__1.K_1.L_1.M_1.N,2,13.0279
5n2v__2__1.E_1.F__1.K_1.L_1.M_1.N,3,15.8068
5n2v__2__1.E_1.F__1.K_1.L_1.M_1.N,4,19.0773
