protein,idx,rmsd
1h79__1__1.A_2.A__2.B_2.C,1,20.7448
1h79__1__1.A_2.A__2.B_2.C,2,20.8993
1h79__1__1.A_2.A__2.B_2.C,3,20.7224
1h79__1__1.A_2.A__2.B_2.C,4,20.6049
1h7a__1__1.A_2.A__2.B_2.D,0,20.0264
1h7a__1__1.A_2.A__2.B_2.D,1,19.9155
1h7a__1__1.A_2.A__2.B_2.D,2,19.8566
1h7a__1__1.A_2.A__2.B_2.D,3,19.7912
1h7a__1__1.A_2.A__2.B_2.D,4,19.5378
1ia9__1__1.B__1.G,0,0.92399
1ia9__1__1.B__1.G,1,0.979814
1ia9__1__1.B__1.G,2,0.946635
1ia9__1__1.B__1.G,3,0.996033
1ia9__1__1.B__1.G,4,1.01429
1isf__1__1.B__1.D,0,15.2354
1isf__1__1.B__1.D,1,16.8692
1isf__1__1.B__1.D,2,16.3955
1isf__1__1.B__1.D,3,17.7565
1isf__1__1.B__1.D,4,16.7282
1isi__1__1.A__1.C,0,17.2679
1isi__1__1.A__1.C,1,17.1939
1isi__1__1.A__1.C,2,17.3695
1isi__1__1.A__1.C,3,15.7321
1isi__1__1.A__1.C,4,17.1236
1itc__1__1.A__1.D,0,37.7759
1itc__1__1.A__1.D,1,37.7742
1itc__1__1.A__1.D,2,37.9549
1itc__1__1.A__1.D,3,37.9376
1itc__1__1.A__1.D,4,37.6332
1j1m__1__1.A__1.B,0,30.4411
1j1m__1__1.A__1.B,1,28.9997
1j1m__1__1.A__1.B,2,29.4552
1j1m__1__1.A__1.B,3,30.6573
1j1m__1__1.A__1.B,4,29.7619
1jcl__1__1.A__1.C,0,0.666567
1jcl__1__1.A__1.C,1,0.743554
1jcl__1__1.A__1.C,2,0.770902
1jcl__1__1.A__1.C,3,0.685148
1jcl__1__1.A__1.C,4,0.697181
1js4__1__1.A__1.C,0,3.15113
1js4__1__1.A__1.C,1,3.16986
1js4__1__1.A__1.C,2,3.14675
1js4__1__1.A__1.C,3,2.49001
1js4__1__1.A__1.C,4,3.80017
1juh__2__1.B_2.D__2.H,0,24.3303
1juh__2__1.B_2.D__2.H,1,24.0877
1juh__2__1.B_2.D__2.H,2,22.3298
1juh__2__1.B_2.D__2.H,3,23.3601
1juh__2__1.B_2.D__2.H,4,23.7018
1kv3__2__1.B_1.F__1.L,0,12.6521
1kv3__2__1.B_1.F__1.L,1,12.5952
1kv3__2__1.B_1.F__1.L,2,12.3491
1kv3__2__1.B_1.F__1.L,3,12.5018
1kv3__2__1.B_1.F__1.L,4,12.5283
1l1y__3__1.C__1.I,0,30.2014
1l1y__3__1.C__1.I,1,30.5846
1l1y__3__1.C__1.I,2,30.848
1l1y__3__1.C__1.I,3,6.7321
1l1y__3__1.C__1.I,4,6.43558
1l2a__1__1.A__1.G,0,32.0436
1l2a__1__1.A__1.G,1,29.686
1l2a__1__1.A__1.G,2,23.2146
1l2a__1__1.A__1.G,3,6.20939
1l2a__1__1.A__1.G,4,6.17918
1l4u__1__1.A__1.C_1.J,0,0.375882
1l4u__1__1.A__1.C_1.J,1,0.321346
1l4u__1__1.A__1.C_1.J,2,0.469335
1l4u__1__1.A__1.C_1.J,3,0.295703
1l4u__1__1.A__1.C_1.J,4,0.523657
1l4y__1__1.A__1.B_1.H,0,0.343753
1l4y__1__1.A__1.B_1.H,1,0.361086
1l4y__1__1.A__1.B_1.H,2,0.197552
1l4y__1__1.A__1.B_1.H,3,0.296483
1l4y__1__1.A__1.B_1.H,4,0.294903
1lhu__1__2.A__2.C,0,0.234862
1lhu__1__2.A__2.C,1,0.269627
1lhu__1__2.A__2.C,2,0.278409
1lhu__1__2.A__2.C,3,0.276752
1lhu__1__2.A__2.C,4,0.261909
1lhv__1__2.A__2.D,0,0.451011
1lhv__1__2.A__2.D,1,0.425866
1lhv__1__2.A__2.D,2,6.42742
1lhv__1__2.A__2.D,3,0.470686
1lhv__1__2.A__2.D,4,0.435897
1lor__1__1.A_2.A__1.B,0,0.153202
1lor__1__1.A_2.A__1.B,1,0.13916
1lor__1__1.A_2.A__1.B,2,0.186169
1lor__1__1.A_2.A__1.B,3,0.177981
1lor__1__1.A_2.A__1.B,4,0.200428
1los__1__1.A_1.B__1.E,0,0.507714
1los__1__1.A_1.B__1.E,1,0.364514
1los__1__1.A_1.B__1.E,2,0.465024
1los__1__1.A_1.B__1.E,3,0.474172
1los__1__1.A_1.B__1.E,4,0.428942
1lqv__2__1.B__1.J,0,30.8164
1lqv__2__1.B__1.J,1,33.5865
1lqv__2__1.B__1.J,2,25.5998
1lqv__2__1.B__1.J,3,26.0933
1lqv__2__1.B__1.J,4,25.6001
1m4i__1__1.A__1.D,0,0.567817
1m4i__1__1.A__1.D,1,0.30266
1m4i__1__1.A__1.D,2,0.360473
1m4i__1__1.A__1.D,3,0.529519
1m4i__1__1.A__1.D,4,0.502161
1nfs__1__1.A__1.D_1.E,0,0.825748
1nfs__1__1.A__1.D_1.E,1,0.807506
1nfs__1__1.A__1.D_1.E,2,0.802464
1nfs__1__1.A__1.D_1.E,3,0.743409
1nfs__1__1.A__1.D_1.E,4,0.753416
1nup__1__1.A_1.B__1.E,0,12.3302
1nup__1__1.A_1.B__1.E,1,11.8642
1nup__1__1.A_1.B__1.E,2,11.6591
1nup__1__1.A_1.B__1.E,3,11.867
1nup__1__1.A_1.B__1.E,4,12.3261
1nx9__1__1.A__1.E,0,1.39332
1nx9__1__1.A__1.E,1,1.31743
1nx9__1__1.A__1.E,2,1.34621
1nx9__1__1.A__1.E,3,1.32275
1nx9__1__1.A__1.E,4,1.141
1o94__1__1.C__1.M,0,0.506701
1o94__1__1.C__1.M,1,0.54586
1o94__1__1.C__1.M,2,0.491145
1o94__1__1.C__1.M,3,0.514811
1o94__1__1.C__1.M,4,0.563156
1oik__1__2.A__2.C_2.D_2.E,0,1.69256
1oik__1__2.A__2.C_2.D_2.E,1,5.47036
1oik__1__2.A__2.C_2.D_2.E,2,6.49361
1oik__1__2.A__2.C_2.D_2.E,3,6.9492
1oik__1__2.A__2.C_2.D_2.E,4,3.11508
1omz__2__1.A__1.C_1.D,0,1.43144
1omz__2__1.A__1.C_1.D,1,1.43431
1omz__2__1.A__1.C_1.D,2,1.31985
1omz__2__1.A__1.C_1.D,3,1.43243
1omz__2__1.A__1.C_1.D,4,1.44366
1on6__1__1.A__1.C_1.D,0,0.602167
1on6__1__1.A__1.C_1.D,1,0.457015
1on6__1__1.A__1.C_1.D,2,0.564776
1on6__1__1.A__1.C_1.D,3,0.432525
1on6__1__1.A__1.C_1.D,4,0.441185
1pj6__1__2.A__2.C,0,2.54811
1pj6__1__2.A__2.C,1,2.44572
1pj6__1__2.A__2.C,2,2.36216
1pj6__1__2.A__2.C,3,2.26046
1pj6__1__2.A__2.C,4,3.70625
1pwu__2__1.B__1.E_1.F,0,0.864481
1pwu__2__1.B__1.E_1.F,1,0.83943
1pwu__2__1.B__1.E_1.F,2,0.794854
1pwu__2__1.B__1.E_1.F,3,0.670814
1pwu__2__1.B__1.E_1.F,4,0.821165
1q92__1__1.A__1.C,0,0.673397
1q92__1__1.A__1.C,1,0.576022
1q92__1__1.A__1.C,2,0.774488
1q92__1__1.A__1.C,3,0.789335
1q92__1__1.A__1.C,4,3.54665
1qk0__1__1.A__1.E,0,24.0947
1qk0__1__1.A__1.E,1,23.8223
1qk0__1__1.A__1.E,2,23.9423
1qk0__1__1.A__1.E,3,23.7314
1qk0__1__1.A__1.E,4,25.7119
1qk2__1__1.A__1.E,0,24.3568
1qk2__1__1.A__1.E,1,24.2292
1qk2__1__1.A__1.E,2,25.6982
1qk2__1__1.A__1.E,3,24.1267
1qk2__1__1.A__1.E,4,25.9807
1qmg__2__1.D__1.R,0,0.287714
1qmg__2__1.D__1.R,1,0.298153
1qmg__2__1.D__1.R,2,0.199758
1qmg__2__1.D__1.R,3,0.275839
1qmg__2__1.D__1.R,4,0.246526
1qnf__1__1.A__1.C,0,1.1478
1qnf__1__1.A__1.C,1,1.12151
1qnf__1__1.A__1.C,2,1.14404
1qnf__1__1.A__1.C,3,1.1307
1qnf__1__1.A__1.C,4,1.23355
1qwu__1__1.A__1.C_1.D,0,1.23902
1qwu__1__1.A__1.C_1.D,1,1.16412
1qwu__1__1.A__1.C_1.D,2,1.23611
1qwu__1__1.A__1.C_1.D,3,3.26618
1qwu__1__1.A__1.C_1.D,4,3.22071
1r34__1__1.A__1.C_1.D,0,2.02792
1r34__1__1.A__1.C_1.D,1,1.52245
1r34__1__1.A__1.C_1.D,2,1.84664
1r34__1__1.A__1.C_1.D,3,1.84405
1r34__1__1.A__1.C_1.D,4,1.84835
1r6w__1__1.A__1.B_1.C,0,0.482143
1r6w__1__1.A__1.B_1.C,1,0.613336
1r6w__1__1.A__1.B_1.C,2,0.529348
1r6w__1__1.A__1.B_1.C,3,0.362968
1r6w__1__1.A__1.B_1.C,4,0.395667
1rwn__1__2.A_2.B__2.C,0,19.7682
1rwn__1__2.A_2.B__2.C,1,34.2082
1rwn__1__2.A_2.B__2.C,2,18.12
1rwn__1__2.A_2.B__2.C,3,40.5065
1rwn__1__2.A_2.B__2.C,4,37.5233
1rwo__1__2.A_2.B__2.C,0,32.7274
1rwo__1__2.A_2.B__2.C,1,38.4371
1rwo__1__2.A_2.B__2.C,2,43.1431
1rwo__1__2.A_2.B__2.C,3,31.713
1rwo__1__2.A_2.B__2.C,4,36.9808
1s2g__1__1.A_2.C__1.D,0,0.495868
1s2g__1__1.A_2.C__1.D,1,0.416448
1s2g__1__1.A_2.C__1.D,2,0.477705
1s2g__1__1.A_2.C__1.D,3,0.424291
1s2g__1__1.A_2.C__1.D,4,0.402765
1s4m__2__1.B__1.E,0,0.39175
1s4m__2__1.B__1.E,1,0.488679
1s4m__2__1.B__1.E,2,0.369489
1s4m__2__1.B__1.E,3,0.326741
1s4m__2__1.B__1.E,4,0.419022
1tcb__1__1.A__1.C,0,6.18602
1tcb__1__1.A__1.C,1,7.02521
1tcb__1__1.A__1.C,2,6.17204
1tcb__1__1.A__1.C,3,6.68348
1tcb__1__1.A__1.C,4,6.10842
1tcc__1__1.A__1.C,0,41.2622
1tcc__1__1.A__1.C,1,6.81278
1tcc__1__1.A__1.C,2,7.07252
1tcc__1__1.A__1.C,3,6.09991
1tcc__1__1.A__1.C,4,7.11022
1tfw__2__1.J__1.M_1.N,0,1.21782
1tfw__2__1.J__1.M_1.N,1,4.19806
1tfw__2__1.J__1.M_1.N,2,4.34997
1tfw__2__1.J__1.M_1.N,3,3.66614
1tfw__2__1.J__1.M_1.N,4,4.00243
1thz__1__1.A_1.B__1.D,0,3.1146
1thz__1__1.A_1.B__1.D,1,3.91276
1thz__1__1.A_1.B__1.D,2,2.55352
1thz__1__1.A_1.B__1.D,3,2.06658
1thz__1__1.A_1.B__1.D,4,4.57673
1u8v__1__1.A_1.B__1.F,0,1.24641
1u8v__1__1.A_1.B__1.F,1,1.15804
1u8v__1__1.A_1.B__1.F,2,1.20595
1u8v__1__1.A_1.B__1.F,3,1.17357
1u8v__1__1.A_1.B__1.F,4,1.18265
1ua3__1__1.A__1.B,0,30.4574
1ua3__1__1.A__1.B,1,30.5993
1ua3__1__1.A__1.B,2,30.7322
1ua3__1__1.A__1.B,3,30.6612
1ua3__1__1.A__1.B,4,30.6858
1ub3__1__1.C__1.G,0,0.686709
1ub3__1__1.C__1.G,1,0.693086
1ub3__1__1.C__1.G,2,0.80314
1ub3__1__1.C__1.G,3,0.70916
1ub3__1__1.C__1.G,4,0.73434
1uhe__1__2.A_2.B_4.A_4.B__4.C,0,28.1667
1uhe__1__2.A_2.B_4.A_4.B__4.C,1,28.3774
1uhe__1__2.A_2.B_4.A_4.B__4.C,2,20.0631
1uhe__1__2.A_2.B_4.A_4.B__4.C,3,27.4027
1uhe__1__2.A_2.B_4.A_4.B__4.C,4,21.3556
1uj5__2__2.A__2.B,0,0.31433
1uj5__2__2.A__2.B,1,0.312988
1uj5__2__2.A__2.B,2,0.370285
1uj5__2__2.A__2.B,3,0.326034
1uj5__2__2.A__2.B,4,0.347772
1uoo__1__1.A__1.B,0,0.907285
1uoo__1__1.A__1.B,1,0.784988
1uoo__1__1.A__1.B,2,0.980835
1uoo__1__1.A__1.B,3,1.11138
1uoo__1__1.A__1.B,4,1.07524
1v3c__1__1.B__1.J,0,26.1652
1v3c__1__1.B__1.J,1,26.0493
1v3c__1__1.B__1.J,2,26.4318
1v3c__1__1.B__1.J,3,26.1841
1v3c__1__1.B__1.J,4,26.0072
1v3e__1__1.B__1.I,0,26.0267
1v3e__1__1.B__1.I,1,25.9532
1v3e__1__1.B__1.I,2,25.926
1v3e__1__1.B__1.I,3,25.825
1v3e__1__1.B__1.I,4,26.338
1v4s__1__1.A__1.D,0,0.391106
1v4s__1__1.A__1.D,1,0.342067
1v4s__1__1.A__1.D,2,0.440849
1v4s__1__1.A__1.D,3,0.376472
1v4s__1__1.A__1.D,4,0.440341
1vhn__1__1.A__1.B_1.E,0,0.372024
1vhn__1__1.A__1.B_1.E,1,0.453738
1vhn__1__1.A__1.B_1.E,2,0.471269
1vhn__1__1.A__1.B_1.E,3,0.395424
1vhn__1__1.A__1.B_1.E,4,0.500727
1w19__1__2.A_2.E__2.EA,0,21.8268
1w19__1__2.A_2.E__2.EA,1,21.7988
1w19__1__2.A_2.E__2.EA,2,21.7395
1w19__1__2.A_2.E__2.EA,3,21.8507
1w19__1__2.A_2.E__2.EA,4,21.825
1w19__1__2.C_2.D__2.T,0,0.52347
1w19__1__2.C_2.D__2.T,1,0.50326
1w19__1__2.C_2.D__2.T,2,0.427947
1w19__1__2.C_2.D__2.T,3,0.380937
1w19__1__2.C_2.D__2.T,4,0.462355
1w2c__2__1.B__1.H_1.I_1.J,0,0.385475
1w2c__2__1.B__1.H_1.I_1.J,1,0.301166
1w2c__2__1.B__1.H_1.I_1.J,2,0.624072
1w2c__2__1.B__1.H_1.I_1.J,3,0.607517
1w2c__2__1.B__1.H_1.I_1.J,4,0.326094
1w2x__1__1.A_2.A__2.D,0,2.33019
1w2x__1__1.A_2.A__2.D,1,1.77739
1w2x__1__1.A_2.A__2.D,2,2.34805
1w2x__1__1.A_2.A__2.D,3,2.36904
1w2x__1__1.A_2.A__2.D,4,3.15793
1wda__1__2.A__2.J,0,1.2712
1wda__1__2.A__2.J,1,1.04948
1wda__1__2.A__2.J,2,0.998587
1wda__1__2.A__2.J,3,1.04336
1wda__1__2.A__2.J,4,0.971471
1wk9__1__1.A__1.B,0,0.802896
1wk9__1__1.A__1.B,1,0.777513
1wk9__1__1.A__1.B,2,0.787894
1wk9__1__1.A__1.B,3,0.548078
1wk9__1__1.A__1.B,4,0.533102
1wop__1__1.A__1.B,0,0.451951
1wop__1__1.A__1.B,1,0.40507
1wxy__1__1.A__1.C,0,8.57398
1wxy__1__1.A__1.C,1,7.63855
1wxy__1__1.A__1.C,2,7.61661
1wxy__1__1.A__1.C,3,7.56476
1wxy__1__1.A__1.C,4,7.64966
1x1i__1__1.A__1.B,0,0.350523
1x1i__1__1.A__1.B,1,0.402411
1x1i__1__1.A__1.B,2,0.507831
1x1i__1__1.A__1.B,3,0.55849
1x1i__1__1.A__1.B,4,0.314252
1xpg__2__1.B__1.K,0,3.44411
1xpg__2__1.B__1.K,1,3.38238
1xpg__2__1.B__1.K,2,3.24271
1xpg__2__1.B__1.K,3,1.14216
1xpg__2__1.B__1.K,4,3.44349
1xr2__1__1.A__1.D,0,3.4726
1xr2__1__1.A__1.D,1,3.33595
1xr2__1__1.A__1.D,2,0.986627
1xr2__1__1.A__1.D,3,2.2514
1xr2__1__1.A__1.D,4,2.22066
1xuo__1__1.A__1.D,0,3.2787
1xuo__1__1.A__1.D,1,3.4119
1xuo__1__1.A__1.D,2,3.57213
1xuo__1__1.A__1.D,3,3.73403
1xuo__1__1.A__1.D,4,3.70565
1xwd__1__1.A__1.J,0,13.5751
1xwd__1__1.A__1.J,1,12.5505
1xwd__1__1.A__1.J,2,15.2184
1xwd__1__1.A__1.J,3,15.5708
1xwd__1__1.A__1.J,4,19.4724
1yk0__1__1.B__1.D,0,28.3877
1yk0__1__1.B__1.D,1,27.7991
1yk0__1__1.B__1.D,2,27.6342
1yk0__1__1.B__1.D,3,27.3725
1yk0__1__1.B__1.D,4,27.3848
1yk1__1__1.B__1.D,0,28.0792
1yk1__1__1.B__1.D,1,28.018
1yk1__1__1.B__1.D,2,27.612
1yk1__1__1.B__1.D,3,27.7475
1yk1__1__1.B__1.D,4,27.8361
1ywq__1__1.A_2.A__2.B,0,1.29901
1ywq__1__1.A_2.A__2.B,1,1.22426
1ywq__1__1.A_2.A__2.B,2,1.48821
1ywq__1__1.A_2.A__2.B,3,1.38884
1ywq__1__1.A_2.A__2.B,4,1.12011
1z2i__1__1.A_1.B__1.E,0,0.516829
1z2i__1__1.A_1.B__1.E,1,0.588831
1z2i__1__1.A_1.B__1.E,2,0.584169
1z2i__1__1.A_1.B__1.E,3,0.487482
1z2i__1__1.A_1.B__1.E,4,0.594146
1z82__1__1.A_1.B__1.C_1.J,0,1.43912
1z82__1__1.A_1.B__1.C_1.J,1,1.43639
1z82__1__1.A_1.B__1.C_1.J,2,1.42047
1z82__1__1.A_1.B__1.C_1.J,3,0.514152
1z82__1__1.A_1.B__1.C_1.J,4,1.44868
1zed__1__2.A__2.C,0,31.8516
1zed__1__2.A__2.C,1,31.7413
1zed__1__2.A__2.C,2,31.706
1zed__1__2.A__2.C,3,31.8336
1zed__1__2.A__2.C,4,31.7484
1zxv__1__1.A__1.C_1.D,0,51.3826
1zxv__1__1.A__1.C_1.D,1,10.8424
1zxv__1__1.A__1.C_1.D,2,10.5876
1zxv__1__1.A__1.C_1.D,3,10.5691
1zxv__1__1.A__1.C_1.D,4,10.1429
2ada__1__1.A__1.B_1.C,0,0.385346
2ada__1__1.A__1.B_1.C,1,0.328616
2ada__1__1.A__1.B_1.C,2,0.312917
2ada__1__1.A__1.B_1.C,3,0.367841
2ada__1__1.A__1.B_1.C,4,0.290787
2bif__1__1.A__1.F_1.H,0,0.441676
2bif__1__1.A__1.F_1.H,1,0.968689
2bif__1__1.A__1.F_1.H,2,1.05632
2bif__1__1.A__1.F_1.H,3,1.00654
2bif__1__1.A__1.F_1.H,4,0.708369
2bxa__1__1.A__1.D,0,3.73949
2bxa__1__1.A__1.D,1,3.48852
2bxa__1__1.A__1.D,2,28.2741
2bxa__1__1.A__1.D,3,28.1313
2bxa__1__1.A__1.D,4,28.2069
2c92__1__1.B_1.C__1.J,0,0.433849
2c92__1__1.B_1.C__1.J,1,0.436604
2c92__1__1.B_1.C__1.J,2,0.363932
2c92__1__1.B_1.C__1.J,3,0.401871
2c92__1__1.B_1.C__1.J,4,0.397252
2c94__1__1.A_1.E__1.X,0,21.9824
2c94__1__1.A_1.E__1.X,1,21.9715
2c94__1__1.A_1.E__1.X,2,22.0833
2c94__1__1.A_1.E__1.X,3,22.0376
2c94__1__1.A_1.E__1.X,4,22.0031
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,0,2.87508
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,1,2.93243
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,2,2.98829
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,3,2.99974
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,4,3.22473
2cfm__1__1.A__1.C,0,0.830941
2cfm__1__1.A__1.C,1,0.854163
2cfm__1__1.A__1.C,2,0.942867
2cfm__1__1.A__1.C,3,0.633321
2cfm__1__1.A__1.C,4,1.02074
2d3n__1__1.A__1.E,0,36.6977
2d3n__1__1.A__1.E,1,36.7838
2d3n__1__1.A__1.E,2,36.6492
2d3n__1__1.A__1.E,3,36.5942
2d3n__1__1.A__1.E,4,38.8321
2fqw__1__1.A__1.B,0,0.200056
2fqw__1__1.A__1.B,1,0.33384
2fqw__1__1.A__1.B,2,0.157091
2fqw__1__1.A__1.B,3,0.25965
2fqw__1__1.A__1.B,4,0.238077
2gah__1__1.A_1.B__1.G,0,25.8663
2gah__1__1.A_1.B__1.G,1,19.5747
2gah__1__1.A_1.B__1.G,2,29.4018
2gah__1__1.A_1.B__1.G,3,28.2997
2gah__1__1.A_1.B__1.G,4,28.3256
2goo__1__1.C__1.H,0,1.48911
2goo__1__1.C__1.H,1,1.43482
2goo__1__1.C__1.H,2,1.48643
2goo__1__1.C__1.H,3,1.65154
2goo__1__1.C__1.H,4,1.55205
2hmv__1__4.A_4.B__4.C,0,1.69432
2hmv__1__4.A_4.B__4.C,1,1.55614
2hmv__1__4.A_4.B__4.C,2,1.57907
2hmv__1__4.A_4.B__4.C,3,1.43185
2hmv__1__4.A_4.B__4.C,4,1.66727
2hmw__1__4.A_4.B__4.D,0,26.0037
2hmw__1__4.A_4.B__4.D,1,26.0355
2hmw__1__4.A_4.B__4.D,2,25.9302
2hmw__1__4.A_4.B__4.D,3,26.0484
2hmw__1__4.A_4.B__4.D,4,26.016
2ica__1__1.A__1.B,0,0.807644
2ica__1__1.A__1.B,1,0.882963
2ica__1__1.A__1.B,2,0.710097
2ica__1__1.A__1.B,3,2.18567
2ica__1__1.A__1.B,4,2.51717
2j07__1__1.A__1.C,0,1.1461
2j07__1__1.A__1.C,1,0.937924
2j07__1__1.A__1.C,2,1.14951
2j07__1__1.A__1.C,3,1.12129
2j07__1__1.A__1.C,4,1.15675
2j0y__1__1.C__1.H,0,34.3696
2j0y__1__1.C__1.H,1,3.47416
2j0y__1__1.C__1.H,2,2.94554
2j0y__1__1.C__1.H,3,3.12113
2j0y__1__1.C__1.H,4,3.61622
2jbs__1__1.A_1.D__1.H,0,36.3881
2jbs__1__1.A_1.D__1.H,1,36.4838
2jbs__1__1.A_1.D__1.H,2,36.4456
2jbs__1__1.A_1.D__1.H,3,36.4129
2jbs__1__1.A_1.D__1.H,4,36.3826
2nw8__1__1.A_1.B_2.A__2.D,0,19.3273
2nw8__1__1.A_1.B_2.A__2.D,1,19.2455
2nw8__1__1.A_1.B_2.A__2.D,2,19.3637
2nw8__1__1.A_1.B_2.A__2.D,3,19.5142
2nw8__1__1.A_1.B_2.A__2.D,4,19.4125
2o7i__1__1.A__1.B,0,1.30972
2o7i__1__1.A__1.B,1,1.34675
2o7i__1__1.A__1.B,2,2.69348
2o7i__1__1.A__1.B,3,2.66402
2o7i__1__1.A__1.B,4,2.74659
2oz2__1__2.A_2.B__2.F_2.L,0,0.780691
2oz2__1__2.A_2.B__2.F_2.L,1,0.899645
2oz2__1__2.A_2.B__2.F_2.L,2,0.640828
2oz2__1__2.A_2.B__2.F_2.L,3,0.809173
2oz2__1__2.A_2.B__2.F_2.L,4,0.827938
2pg2__1__1.B__1.H,0,0.646463
2pg2__1__1.B__1.H,1,0.662478
2pg2__1__1.B__1.H,2,0.641872
2pg2__1__1.B__1.H,3,0.634148
2pg2__1__1.B__1.H,4,0.75905
2q3j__1__1.A__1.C,0,5.8071
2q3j__1__1.A__1.C,1,5.63037
2q3j__1__1.A__1.C,2,0.86069
2q3j__1__1.A__1.C,3,5.8922
2q3j__1__1.A__1.C,4,5.10382
2q8i__1__1.A_2.A_2.B__2.F,0,53.7935
2q8i__1__1.A_2.A_2.B__2.F,1,53.6902
2q8i__1__1.A_2.A_2.B__2.F,2,52.6793
2q8i__1__1.A_2.A_2.B__2.F,3,52.116
2q8i__1__1.A_2.A_2.B__2.F,4,53.2344
2qcx__1__1.B__1.D,0,0.491487
2qcx__1__1.B__1.D,1,0.457466
2qcx__1__1.B__1.D,2,0.477014
2qcx__1__1.B__1.D,3,1.77694
2qcx__1__1.B__1.D,4,0.545186
2qts__1__1.A__1.J,0,42.4615
2qts__1__1.A__1.J,1,34.099
2qts__1__1.A__1.J,2,34.642
2qts__1__1.A__1.J,3,33.158
2qts__1__1.A__1.J,4,27.273
2qvh__1__1.B__1.E_1.F,0,0.254546
2qvh__1__1.B__1.E_1.F,1,0.301882
2qvh__1__1.B__1.E_1.F,2,0.287627
2qvh__1__1.B__1.E_1.F,3,0.297747
2qvh__1__1.B__1.E_1.F,4,0.260366
