rmsd_≤_2å,mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,molecular_formula,molecular_bonds,tetrahedral_chirality,double_bond_stereochemistry,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,rmsd,pb_valid,method,post-processing,dataset,docked_ligand_successfully_loaded,method_category,method_assignment_index,rmsd_within_threshold,rmsd_within_threshold_and_pb_valid,RMSD ≤ 2 Å & PB-Valid,RMSD ≤ 2 Å
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,2.994471090656541,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,50.615805907970426,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8.520984282376068,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,5.985716831391208,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,2.640995506297902,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,4.178691724908429,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,48.9185874348732,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,28.110888808304463,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,1.1047059806906014,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.7786891905097097,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,True,1,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0615742591914037,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,True,1,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,22.81309135611815,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,10.338322847986516,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.1788902843813307,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,14.458887494893927,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,68.10101315445635,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,56.51222972323778,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.9044504750814166,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,10.50838767687508,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,True,33.25013481816778,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,31.69989212009443,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,3.1348202583435643,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,11.58386404573189,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,39.81463724480837,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,18.369807136534376,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,2.0593616608065712,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,27.038524611693276,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.9307481548388096,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,46.05941980118996,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,9.04872900872456,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,9.466511761702115,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.8203634672931548,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,15.94858918303176,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,14.431609706148103,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,67.57848758858472,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,31.5306317375371,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,11.942892683726166,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,33.53481555080437,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2.939717883816161,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,4.348638956857284,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,32.042039373203345,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,1.6420084564946675,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,4.474817187530479,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.1710294278356728,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,1.948239470735907,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,12.62767432741807,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.7946374012867818,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,43.674534214197216,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,11.433762840552538,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,8.987126740662294,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.2204500772886395,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,1.210837655723721,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12.013166075879692,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.5271895246047558,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,35.46532625051669,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,5.85975212448824,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40.621475661612784,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,2.0808657891961846,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.6713752346923345,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4.431903249420301,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2.37146151615004,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,22.10309594914574,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,True,9.486878878077944,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,42.06501355198306,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,18.170407106656487,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,3.4968502538594164,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,42.37765346148922,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,1.6375918106845344,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,22.398435617958945,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8.206171204236677,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,2.3924613615828125,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
