rmsd,score,method,protein,rank
1.3861661425224987,0.98,gnina,4tlb__1__1.A_1.F__1.V_1.W,2
1.492128456392602,0.97,gnina,4tlb__1__1.A_1.F__1.V_1.W,3
1.8389661616659347,0.95,gnina,4tlb__1__1.A_1.F__1.V_1.W,4
2.0913291049268716,0.75,gnina,4tlb__1__1.A_1.F__1.V_1.W,5
0.5642660648262552,0.91,gnina,5qgm__1__1.A__1.F,1
0.44421463202466743,0.9,gnina,5qgm__1__1.A__1.F,2
0.680966448867913,0.68,gnina,5qgm__1__1.A__1.F,3
1.3548002883422676,0.66,gnina,5qgm__1__1.A__1.F,4
0.4824194179415753,0.41,gnina,5qgm__1__1.A__1.F,5
0.3821047906356026,1.0,gnina,3lgm__1__1.A__1.C,1
0.8935758254362043,0.95,gnina,3lgm__1__1.A__1.C,2
1.2288093088381369,0.75,gnina,3lgm__1__1.A__1.C,3
1.1896270693837052,0.73,gnina,3lgm__1__1.A__1.C,4
1.3122902373799141,0.48,gnina,3lgm__1__1.A__1.C,5
0.6473536845001712,0.9,gnina,7siy__1__1.A__1.B,1
3.087260335234394,0.64,gnina,7siy__1__1.A__1.B,2
2.2271001113764455,0.63,gnina,7siy__1__1.A__1.B,3
1.521530049685408,0.62,gnina,7siy__1__1.A__1.B,4
1.4251118446139293,0.61,gnina,7siy__1__1.A__1.B,5
2.268423269526357,0.9,gnina,1wxy__1__1.A__1.C,1
0.6964588789295681,0.81,gnina,1wxy__1__1.A__1.C,2
1.84669838020101,0.73,gnina,1wxy__1__1.A__1.C,3
2.0837846134555895,0.67,gnina,1wxy__1__1.A__1.C,4
1.0723192776042259,0.64,gnina,1wxy__1__1.A__1.C,5
1.6048620837576453,0.74,gnina,1h1i__1__1.A_1.C__1.E,1
0.23545877551418182,0.55,gnina,1h1i__1__1.A_1.C__1.E,2
1.4272834517575912,0.4,gnina,1h1i__1__1.A_1.C__1.E,3
1.5768865185613359,0.39,gnina,1h1i__1__1.A_1.C__1.E,4
0.7009336390032819,0.36,gnina,1h1i__1__1.A_1.C__1.E,5
0.9837911596586515,0.87,gnina,4my6__2__1.B__1.F,1
1.12828040315773,0.85,gnina,4my6__2__1.B__1.F,2
2.4882156845842314,0.74,gnina,4my6__2__1.B__1.F,3
2.1192800208989295,0.65,gnina,4my6__2__1.B__1.F,4
1.7086479974996975,0.6,gnina,4my6__2__1.B__1.F,5
1.6491144351146976,0.96,gnina,7erb__2__1.C__1.L_1.M,1
2.214087622737042,0.93,gnina,7erb__2__1.C__1.L_1.M,2
2.9780209940320326,0.77,gnina,7erb__2__1.C__1.L_1.M,3
3.046918599653187,0.75,gnina,7erb__2__1.C__1.L_1.M,4
3.4342901797789533,0.68,gnina,7erb__2__1.C__1.L_1.M,5
0.9491435881668507,0.99,gnina,3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,1
2.0513174480951415,0.98,gnina,3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,2
0.7539096140387441,0.95,gnina,3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,3
1.2734862035936825,0.92,gnina,3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,4
2.2648936537839917,0.89,gnina,3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,5
0.047457492052579424,0.96,gnina,6i6x__2__1.B__1.S,1
0.4807273964827676,0.88,gnina,6i6x__2__1.B__1.S,2
0.23181426239890415,0.66,gnina,6i6x__2__1.B__1.S,3
0.3802382459244286,0.59,gnina,6i6x__2__1.B__1.S,4
0.4760251622144666,0.59,gnina,6i6x__2__1.B__1.S,5
2.41692133014902,0.92,gnina,2dey__1__2.A__2.B_2.H,1
2.0185508599973443,0.87,gnina,2dey__1__2.A__2.B_2.H,2
2.3326059938978028,0.86,gnina,2dey__1__2.A__2.B_2.H,3
2.250156791033453,0.85,gnina,2dey__1__2.A__2.B_2.H,4
2.6371969405087126,0.83,gnina,2dey__1__2.A__2.B_2.H,5
1.4533427019640783,0.96,gnina,6bsl__1__1.A__1.D_1.F,1
3.494387572805077,0.76,gnina,6bsl__1__1.A__1.D_1.F,2
1.188143497027998,0.74,gnina,6bsl__1__1.A__1.D_1.F,3
2.059280759233042,0.67,gnina,6bsl__1__1.A__1.D_1.F,4
3.0832088074923503,0.61,gnina,6bsl__1__1.A__1.D_1.F,5
2.359889241396579,0.39,gnina,1dp4__2__1.A__1.C,1
1.0743334971854388,0.32,gnina,1dp4__2__1.A__1.C,2
1.349326857214877,0.27,gnina,1dp4__2__1.A__1.C,3
1.1869697010330218,0.27,gnina,1dp4__2__1.A__1.C,4
2.915237981540266,0.25,gnina,1dp4__2__1.A__1.C,5
2.1127101333104212,0.74,gnina,3f6k__1__1.A__1.C,1
3.1285115916370896,0.47,gnina,3f6k__1__1.A__1.C,2
2.173872180864431,0.36,gnina,3f6k__1__1.A__1.C,3
1.6819511869373485,0.29,gnina,3f6k__1__1.A__1.C,4
2.7502616240428046,0.28,gnina,3f6k__1__1.A__1.C,5
0.3799897677808373,0.99,gnina,3vw9__1__1.A_1.B__1.E_1.F,1
1.3293111052653954,0.99,gnina,3vw9__1__1.A_1.B__1.E_1.F,2
1.5981276507872366,0.98,gnina,3vw9__1__1.A_1.B__1.E_1.F,3
1.6245350370892935,0.98,gnina,3vw9__1__1.A_1.B__1.E_1.F,4
1.9860029553563765,0.98,gnina,3vw9__1__1.A_1.B__1.E_1.F,5
0.9734283938387046,0.96,gnina,6tlk__2__1.D__1.R,1
2.437641552762909,0.9,gnina,6tlk__2__1.D__1.R,2
2.6472180437138744,0.47,gnina,6tlk__2__1.D__1.R,3
2.6509394746911683,0.2,gnina,6tlk__2__1.D__1.R,4
2.2655260373338755,0.14,gnina,6tlk__2__1.D__1.R,5
0.3184679795834699,0.82,gnina,2xjb__1__1.A__1.D_1.G,1
0.8500684691891472,0.54,gnina,2xjb__1__1.A__1.D_1.G,2
1.0757994533044848,0.46,gnina,2xjb__1__1.A__1.D_1.G,3
1.5074401352734463,0.39,gnina,2xjb__1__1.A__1.D_1.G,4
2.320582061916444,0.26,gnina,2xjb__1__1.A__1.D_1.G,5
2.1470822923730015,0.85,gnina,6h15__1__1.D__1.G,1
0.8804383402933735,0.79,gnina,6h15__1__1.D__1.G,2
3.0667059042944227,0.73,gnina,6h15__1__1.D__1.G,3
1.315639270777444,0.7,gnina,6h15__1__1.D__1.G,4
2.6601821477185474,0.64,gnina,6h15__1__1.D__1.G,5
0.264227868474041,0.98,gnina,2hmv__1__4.A_4.B__4.C,1
1.305856506405594,0.98,gnina,2hmv__1__4.A_4.B__4.C,2
1.3496586735543215,0.97,gnina,2hmv__1__4.A_4.B__4.C,3
1.3917385460332516,0.96,gnina,2hmv__1__4.A_4.B__4.C,4
2.3491514742213697,0.95,gnina,2hmv__1__4.A_4.B__4.C,5
0.9587606339735004,0.56,gnina,5vwo__1__1.A_1.B__1.D,1
2.266871768471204,0.53,gnina,5vwo__1__1.A_1.B__1.D,2
1.7969347331428829,0.29,gnina,5vwo__1__1.A_1.B__1.D,3
1.401245649277026,0.28,gnina,5vwo__1__1.A_1.B__1.D,4
1.428498524378047,0.26,gnina,5vwo__1__1.A_1.B__1.D,5
2.2876866729408154,0.96,gnina,6r58__2__1.B__1.F_1.J,1
0.5857142816071037,0.95,gnina,6r58__2__1.B__1.F_1.J,2
2.6743971787387943,0.91,gnina,6r58__2__1.B__1.F_1.J,3
2.1291859016865184,0.85,gnina,6r58__2__1.B__1.F_1.J,4
2.5098411352891037,0.85,gnina,6r58__2__1.B__1.F_1.J,5
0.36219216276885996,0.95,gnina,3ayf__1__1.A__1.B_1.C_1.E,1
0.8270101650999852,0.56,gnina,3ayf__1__1.A__1.B_1.C_1.E,2
0.8231382960095436,0.33,gnina,3ayf__1__1.A__1.B_1.C_1.E,3
1.2416435098661496,0.29,gnina,3ayf__1__1.A__1.B_1.C_1.E,4
1.6374301951148782,0.26,gnina,3ayf__1__1.A__1.B_1.C_1.E,5
0.9157395078267763,0.95,gnina,6pe3__1__1.A__1.B,1
1.6515996081217186,0.93,gnina,6pe3__1__1.A__1.B,2
1.3409695733956526,0.81,gnina,6pe3__1__1.A__1.B,3
1.6482857962862043,0.72,gnina,6pe3__1__1.A__1.B,4
1.6353117237826316,0.6,gnina,6pe3__1__1.A__1.B,5
4.319705555301677,0.34,gnina,3ddb__1__1.A_1.B__1.B_1.C,1
4.318597268429519,0.22,gnina,3ddb__1__1.A_1.B__1.B_1.C,2
4.378649177980714,0.19,gnina,3ddb__1__1.A_1.B__1.B_1.C,3
4.74806701792225,0.17,gnina,3ddb__1__1.A_1.B__1.B_1.C,4
5.005170431804811,0.17,gnina,3ddb__1__1.A_1.B__1.B_1.C,5
0.46920921276031585,0.95,gnina,6o9x__1__1.A__1.B,1
1.6148050988931875,0.94,gnina,6o9x__1__1.A__1.B,2
2.5186475860754927,0.89,gnina,6o9x__1__1.A__1.B,3
2.5600336865234334,0.88,gnina,6o9x__1__1.A__1.B,4
0.7724779702548021,0.85,gnina,6o9x__1__1.A__1.B,5
0.14810335465475136,0.98,gnina,3nqm__1__1.A_1.B__1.C,1
0.7560324492045267,0.96,gnina,3nqm__1__1.A_1.B__1.C,2
1.722955629308189,0.92,gnina,3nqm__1__1.A_1.B__1.C,3
1.3444859340234574,0.71,gnina,3nqm__1__1.A_1.B__1.C,4
1.6975484530956368,0.29,gnina,3nqm__1__1.A_1.B__1.C,5
1.0024211572289026,0.64,gnina,5bzq__1__1.A__1.B,1
1.9199704069988863,0.61,gnina,5bzq__1__1.A__1.B,2
0.9806559956734645,0.56,gnina,5bzq__1__1.A__1.B,3
2.1418444291940393,0.51,gnina,5bzq__1__1.A__1.B,4
1.0520239460292637,0.4,gnina,5bzq__1__1.A__1.B,5
0.8935240954800223,0.84,gnina,6ykb__1__1.A__1.C,1
2.2377171925723327,0.58,gnina,6ykb__1__1.A__1.C,2
0.48512821819323493,0.58,gnina,6ykb__1__1.A__1.C,3
0.7188510225666956,0.57,gnina,6ykb__1__1.A__1.C,4
1.1698468355076101,0.4,gnina,6ykb__1__1.A__1.C,5
1.2346466546465982,0.88,gnina,5bzn__1__1.A__1.C,1
1.0191205294358225,0.87,gnina,5bzn__1__1.A__1.C,2
1.0540143996545603,0.81,gnina,5bzn__1__1.A__1.C,3
0.933215422329156,0.76,gnina,5bzn__1__1.A__1.C,4
0.8606073767485414,0.68,gnina,5bzn__1__1.A__1.C,5
1.5462165068233271,0.91,gnina,5id7__1__1.A__1.D,1
1.3481849648609023,0.89,gnina,5id7__1__1.A__1.D,2
2.118654796112307,0.89,gnina,5id7__1__1.A__1.D,3
1.6548001430055863,0.83,gnina,5id7__1__1.A__1.D,4
1.3201294958270833,0.8,gnina,5id7__1__1.A__1.D,5
0.012573469009648373,0.9,gnina,2pnc__1__1.B__1.O,1
0.040733816469486615,0.9,gnina,2pnc__1__1.B__1.O,2
0.4646546387012055,0.87,gnina,2pnc__1__1.B__1.O,3
0.4730799469746663,0.82,gnina,2pnc__1__1.B__1.O,4
0.51539941028951,0.74,gnina,2pnc__1__1.B__1.O,5
0.9315697935139302,0.83,gnina,6wqt__1__1.A__1.C,1
2.1407750547449544,0.71,gnina,6wqt__1__1.A__1.C,2
2.7006792984197667,0.67,gnina,6wqt__1__1.A__1.C,3
1.2279550659893008,0.67,gnina,6wqt__1__1.A__1.C,4
1.8098785777962703,0.57,gnina,6wqt__1__1.A__1.C,5
0.7568972801946969,0.85,gnina,5ers__1__1.A_2.A__2.B_2.C,1
0.9289235481733124,0.67,gnina,5ers__1__1.A_2.A__2.B_2.C,2
1.8303852285422186,0.56,gnina,5ers__1__1.A_2.A__2.B_2.C,3
1.7349480715921703,0.54,gnina,5ers__1__1.A_2.A__2.B_2.C,4
1.4568756819197959,0.42,gnina,5ers__1__1.A_2.A__2.B_2.C,5
1.3917094556671987,0.96,gnina,1h3c__1__2.B__2.G,1
0.8782253767504375,0.94,gnina,1h3c__1__2.B__2.G,2
2.2977424194065863,0.75,gnina,1h3c__1__2.B__2.G,3
1.7688227882677445,0.74,gnina,1h3c__1__2.B__2.G,4
1.6075295587974765,0.74,gnina,1h3c__1__2.B__2.G,5
1.2980610494136409,0.97,gnina,6wv7__1__1.A__1.C,1
0.30805627176579325,0.97,gnina,6wv7__1__1.A__1.C,2
1.058601408337491,0.96,gnina,6wv7__1__1.A__1.C,3
1.2947794691318828,0.95,gnina,6wv7__1__1.A__1.C,4
0.7820327051809236,0.88,gnina,6wv7__1__1.A__1.C,5
0.602142873751906,0.97,gnina,2hxd__1__1.A_3.A__1.B_1.C,1
1.502883336042818,0.9,gnina,2hxd__1__1.A_3.A__1.B_1.C,2
1.8430108944281598,0.89,gnina,2hxd__1__1.A_3.A__1.B_1.C,3
1.7513933642596833,0.87,gnina,2hxd__1__1.A_3.A__1.B_1.C,4
2.1469737621009117,0.81,gnina,2hxd__1__1.A_3.A__1.B_1.C,5
0.6205313101885335,0.9,gnina,3lu6__1__1.A__1.D,1
1.0197611107354694,0.86,gnina,3lu6__1__1.A__1.D,2
0.6114387073653814,0.84,gnina,3lu6__1__1.A__1.D,3
0.9279499712020247,0.79,gnina,3lu6__1__1.A__1.D,4
1.1321198802985561,0.76,gnina,3lu6__1__1.A__1.D,5
0.16405309683172534,0.99,gnina,2y71__1__1.A_3.A__3.B,1
1.3888017209700607,0.99,gnina,2y71__1__1.A_3.A__3.B,2
0.7892782520995753,0.95,gnina,2y71__1__1.A_3.A__3.B,3
1.364384032536162,0.67,gnina,2y71__1__1.A_3.A__3.B,4
0.5410410772662618,0.54,gnina,2y71__1__1.A_3.A__3.B,5
0.3911432959854026,0.99,gnina,3elm__1__2.A__2.C_2.I,1
2.002581467330863,0.92,gnina,3elm__1__2.A__2.C_2.I,2
3.026963737408261,0.88,gnina,3elm__1__2.A__2.C_2.I,3
1.6271902666674298,0.88,gnina,3elm__1__2.A__2.C_2.I,4
1.802259231874526,0.84,gnina,3elm__1__2.A__2.C_2.I,5
1.7586910284820954,0.98,gnina,3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,1
0.7542870829416002,0.96,gnina,3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,2
1.9008354164347658,0.92,gnina,3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,3
2.1190606517714743,0.81,gnina,3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,4
2.3975291759962403,0.66,gnina,3ek5__1__1.A_1.C_1.D_1.E_1.F__1.K_1.L,5
0.40245757200996163,0.97,gnina,6i34__1__1.B__1.L,1
0.6976466656247869,0.94,gnina,6i34__1__1.B__1.L,2
0.7620986926606768,0.88,gnina,6i34__1__1.B__1.L,3
1.5196508699976836,0.82,gnina,6i34__1__1.B__1.L,4
1.3088276081752206,0.75,gnina,6i34__1__1.B__1.L,5
0.12539886866588598,0.82,gnina,5j42__1__1.A__1.C_1.D,1
0.10720874857251349,0.81,gnina,5j42__1__1.A__1.C_1.D,2
0.11722034179793628,0.7,gnina,5j42__1__1.A__1.C_1.D,3
0.038580043590980335,0.68,gnina,5j42__1__1.A__1.C_1.D,4
0.4613467220282191,0.67,gnina,5j42__1__1.A__1.C_1.D,5
0.3628493313837429,0.98,gnina,1g4t__2__1.B__1.F_1.G_1.H,1
1.0193724175845411,0.96,gnina,1g4t__2__1.B__1.F_1.G_1.H,2
1.3356402264563347,0.93,gnina,1g4t__2__1.B__1.F_1.G_1.H,3
1.7666191635627673,0.77,gnina,1g4t__2__1.B__1.F_1.G_1.H,4
2.017801256677376,0.27,gnina,1g4t__2__1.B__1.F_1.G_1.H,5
2.771136817137159,0.39,gnina,5m8m__3__1.C__1.Q,1
0.6817748288821004,0.38,gnina,5m8m__3__1.C__1.Q,2
0.9383900675769521,0.35,gnina,5m8m__3__1.C__1.Q,3
1.4350888840121434,0.27,gnina,5m8m__3__1.C__1.Q,4
2.8450964024053267,0.26,gnina,5m8m__3__1.C__1.Q,5
1.4875098759198448,0.59,gnina,5el2__1__1.A__1.E,1
1.919019231376682,0.59,gnina,5el2__1__1.A__1.E,2
1.3849081738536397,0.58,gnina,5el2__1__1.A__1.E,3
1.3528624388429922,0.56,gnina,5el2__1__1.A__1.E,4
1.6402009759582747,0.48,gnina,5el2__1__1.A__1.E,5
2.078987880624012,0.51,gnina,5my0__2__1.D__1.G,1
3.670349139299755,0.36,gnina,5my0__2__1.D__1.G,2
2.1074200912331187,0.31,gnina,5my0__2__1.D__1.G,3
2.6043883773828704,0.2,gnina,5my0__2__1.D__1.G,4
3.1725346189251162,0.17,gnina,5my0__2__1.D__1.G,5
0.16240467709080647,0.95,gnina,6hvh__1__1.A__1.B_1.C,1
0.9718420274664163,0.77,gnina,6hvh__1__1.A__1.B_1.C,2
1.6187977255099915,0.68,gnina,6hvh__1__1.A__1.B_1.C,3
2.1983040601076658,0.55,gnina,6hvh__1__1.A__1.B_1.C,4
3.530038743119655,0.42,gnina,6hvh__1__1.A__1.B_1.C,5
2.5108713314359123,0.08,gnina,7loo__1__1.C_1.D__1.FA_1.HA,1
3.18054062749494,0.07,gnina,7loo__1__1.C_1.D__1.FA_1.HA,2
2.5550318849338605,0.06,gnina,7loo__1__1.C_1.D__1.FA_1.HA,3
1.470299125568397,0.06,gnina,7loo__1__1.C_1.D__1.FA_1.HA,4
2.467968529347855,0.06,gnina,7loo__1__1.C_1.D__1.FA_1.HA,5
0.8852179580015848,0.94,gnina,6f5w__1__1.B__1.HA,1
0.3013656262966003,0.94,gnina,6f5w__1__1.B__1.HA,2
0.9267006394108679,0.9,gnina,6f5w__1__1.B__1.HA,3
0.7459157970711713,0.89,gnina,6f5w__1__1.B__1.HA,4
0.6360707901471195,0.87,gnina,6f5w__1__1.B__1.HA,5
0.7598137679081488,0.91,gnina,2q3j__1__1.A__1.C,1
1.131120742372656,0.9,gnina,2q3j__1__1.A__1.C,2
1.0641986268556614,0.57,gnina,2q3j__1__1.A__1.C,3
1.024591144814478,0.49,gnina,2q3j__1__1.A__1.C,4
1.3025072183962352,0.49,gnina,2q3j__1__1.A__1.C,5
1.8672026447770136,0.73,gnina,3nkn__1__1.A__1.D,1
2.0529913257844448,0.56,gnina,3nkn__1__1.A__1.D,2
1.8160064977383383,0.54,gnina,3nkn__1__1.A__1.D,3
0.7517082869287064,0.53,gnina,3nkn__1__1.A__1.D,4
1.2149741627730941,0.53,gnina,3nkn__1__1.A__1.D,5
0.8990432206663235,0.97,gnina,2o6p__1__1.A__1.F,1
1.0044784521856696,0.96,gnina,2o6p__1__1.A__1.F,2
0.7736875486983602,0.93,gnina,2o6p__1__1.A__1.F,3
1.635582981912649,0.85,gnina,2o6p__1__1.A__1.F,4
1.7020686546694392,0.75,gnina,2o6p__1__1.A__1.F,5
1.750737886271045,0.97,gnina,6jd5__2__1.B__1.E_1.F,1
1.0207808345567606,0.96,gnina,6jd5__2__1.B__1.E_1.F,2
1.3614159827850472,0.95,gnina,6jd5__2__1.B__1.E_1.F,3
1.8193261408403583,0.92,gnina,6jd5__2__1.B__1.E_1.F,4
1.5583633622891244,0.92,gnina,6jd5__2__1.B__1.E_1.F,5
1.0833936058068938,0.98,gnina,2pg2__1__1.B__1.H,1
1.54912097921494,0.97,gnina,2pg2__1__1.B__1.H,2
1.588066441284826,0.55,gnina,2pg2__1__1.B__1.H,3
1.3638894659637841,0.48,gnina,2pg2__1__1.B__1.H,4
1.319119633858997,0.36,gnina,2pg2__1__1.B__1.H,5
0.6278406160873046,0.97,gnina,8one__1__1.A__1.F_1.K,1
1.9231071103921693,0.95,gnina,8one__1__1.A__1.F_1.K,2
2.3514756014775404,0.94,gnina,8one__1__1.A__1.F_1.K,3
2.171972688720527,0.87,gnina,8one__1__1.A__1.F_1.K,4
2.5609297689997588,0.87,gnina,8one__1__1.A__1.F_1.K,5
3.249917515569104,0.64,gnina,5m5u__1__1.A__1.C,1
4.134667182498807,0.62,gnina,5m5u__1__1.A__1.C,2
3.902181622787918,0.58,gnina,5m5u__1__1.A__1.C,3
4.437309800654995,0.55,gnina,5m5u__1__1.A__1.C,4
4.4736601660753434,0.53,gnina,5m5u__1__1.A__1.C,5
1.3217117293420517,0.77,gnina,4ci9__1__2.A__2.B,1
